Date,Origin,Destination,Transport Mode,Quantity,Commodity
2018-11-11,Mine C,Plant 2,Barge,413,Coal
2018-07-29,Mine C,Plant 1,Truck,738,Coal
2018-04-29,Mine A,Plant 2,Barge,194,Coal
2021-05-30,Mine A,Plant 3,Rail,391,Coal
2022-07-31,Mine B,Plant 4,Truck,611,Coal
2022-07-03,Mine C,Plant 1,Barge,389,Coal
2021-11-28,Mine C,Plant 4,Rail,897,Coal
2017-01-22,Mine B,Plant 3,Truck,462,Coal
2020-09-27,Mine A,Plant 3,Truck,706,Coal
2022-03-27,Mine D,Plant 1,Barge,247,Coal
2021-07-18,Mine B,Plant 1,Rail,802,Coal
2020-03-15,Mine A,Plant 1,Rail,520,Coal
2019-09-29,Mine C,Plant 3,Truck,945,Coal
2020-02-02,Mine B,Plant 2,Barge,107,Coal
2020-05-03,Mine C,Plant 2,Barge,327,Coal
2022-01-16,Mine C,Plant 4,Truck,276,Coal
2021-08-22,Mine B,Plant 3,Truck,150,Coal
2018-06-10,Mine D,Plant 4,Barge,746,Coal
2021-08-29,Mine A,Plant 1,Rail,483,Coal
2021-09-12,Mine B,Plant 4,Barge,369,Coal
2021-09-19,Mine B,Plant 3,Truck,831,Coal
2017-11-12,Mine D,Plant 1,Truck,277,Coal
2021-07-11,Mine A,Plant 4,Truck,864,Coal
2020-02-23,Mine C,Plant 1,Rail,748,Coal
2018-09-09,Mine B,Plant 1,Truck,366,Coal
2019-05-05,Mine C,Plant 2,Truck,694,Coal
2019-02-03,Mine D,Plant 3,Truck,322,Coal
2020-09-13,Mine D,Plant 3,Truck,930,Coal
2022-11-06,Mine C,Plant 4,Barge,986,Coal
2018-03-25,Mine C,Plant 3,Truck,451,Coal
2021-10-10,Mine A,Plant 2,Rail,602,Coal
2021-07-11,Mine D,Plant 2,Barge,277,Coal
2018-04-15,Mine B,Plant 4,Rail,764,Coal
2018-04-29,Mine D,Plant 4,Rail,271,Coal
2022-04-24,Mine A,Plant 2,Rail,289,Coal
2019-01-27,Mine C,Plant 2,Barge,567,Coal
2022-05-08,Mine A,Plant 4,Rail,736,Coal
2020-09-20,Mine C,Plant 4,Barge,984,Coal
2021-07-18,Mine B,Plant 1,Truck,271,Coal
2022-07-31,Mine B,Plant 3,Barge,653,Coal
2020-06-07,Mine D,Plant 1,Barge,255,Coal
2021-05-30,Mine A,Plant 4,Truck,588,Coal
2018-08-19,Mine C,Plant 4,Rail,625,Coal
2022-09-25,Mine C,Plant 2,Truck,700,Coal
2022-05-22,Mine D,Plant 1,Barge,291,Coal
2022-09-25,Mine B,Plant 1,Truck,542,Coal
2017-12-10,Mine C,Plant 3,Truck,846,Coal
2020-01-19,Mine B,Plant 4,Truck,859,Coal
2021-07-25,Mine C,Plant 2,Truck,388,Coal
2018-04-08,Mine D,Plant 1,Barge,948,Coal
2019-05-26,Mine A,Plant 3,Barge,702,Coal
2020-05-24,Mine A,Plant 1,Truck,555,Coal
2021-10-10,Mine B,Plant 2,Rail,644,Coal
2018-09-30,Mine B,Plant 4,Barge,362,Coal
2022-01-30,Mine B,Plant 2,Truck,642,Coal
2019-11-03,Mine D,Plant 3,Barge,707,Coal
2021-08-15,Mine B,Plant 3,Barge,196,Coal
2017-12-17,Mine B,Plant 2,Barge,500,Coal
2017-05-07,Mine B,Plant 3,Truck,984,Coal
2017-02-05,Mine A,Plant 3,Truck,707,Coal
2022-07-31,Mine A,Plant 1,Truck,625,Coal
2018-07-15,Mine A,Plant 4,Barge,392,Coal
2020-12-06,Mine C,Plant 2,Rail,906,Coal
2021-11-14,Mine B,Plant 1,Barge,622,Coal
2020-08-02,Mine D,Plant 1,Barge,697,Coal
2018-04-01,Mine B,Plant 1,Barge,271,Coal
2017-08-13,Mine D,Plant 4,Rail,963,Coal
2019-06-30,Mine C,Plant 4,Truck,295,Coal
2020-07-12,Mine C,Plant 3,Rail,360,Coal
2019-12-15,Mine C,Plant 3,Truck,936,Coal
2020-10-04,Mine C,Plant 2,Truck,272,Coal
2018-01-07,Mine C,Plant 2,Truck,964,Coal
2019-11-24,Mine C,Plant 4,Rail,676,Coal
2022-12-04,Mine B,Plant 1,Truck,103,Coal
2022-03-13,Mine D,Plant 3,Rail,316,Coal
2019-12-22,Mine B,Plant 4,Rail,142,Coal
2022-06-26,Mine B,Plant 4,Truck,649,Coal
2017-01-15,Mine C,Plant 2,Truck,270,Coal
2022-12-04,Mine A,Plant 2,Truck,400,Coal
2018-09-23,Mine C,Plant 2,Barge,542,Coal
2018-12-23,Mine A,Plant 2,Truck,681,Coal
2021-08-15,Mine D,Plant 4,Rail,833,Coal
2018-09-16,Mine D,Plant 2,Rail,487,Coal
2018-10-07,Mine D,Plant 4,Truck,686,Coal
2022-01-16,Mine B,Plant 3,Barge,321,Coal
2017-12-03,Mine D,Plant 3,Rail,239,Coal
2020-08-30,Mine D,Plant 4,Truck,928,Coal
2018-02-18,Mine C,Plant 3,Truck,951,Coal
2018-01-07,Mine D,Plant 2,Truck,287,Coal
2018-06-03,Mine B,Plant 1,Truck,842,Coal
2017-08-06,Mine C,Plant 1,Truck,405,Coal
2018-09-02,Mine D,Plant 2,Barge,900,Coal
2021-03-28,Mine B,Plant 4,Truck,119,Coal
2021-08-29,Mine B,Plant 4,Rail,683,Coal
2017-04-30,Mine B,Plant 1,Rail,404,Coal
2018-03-18,Mine C,Plant 1,Rail,837,Coal
2019-07-14,Mine C,Plant 1,Truck,499,Coal
2017-04-30,Mine A,Plant 1,Barge,548,Coal
2020-07-19,Mine B,Plant 3,Truck,944,Coal
2019-06-23,Mine C,Plant 1,Truck,890,Coal
2021-01-31,Mine D,Plant 3,Rail,131,Coal
2022-09-11,Mine D,Plant 4,Truck,124,Coal
2017-04-16,Mine D,Plant 1,Truck,826,Coal
2020-05-31,Mine C,Plant 1,Truck,360,Coal
2018-01-28,Mine D,Plant 3,Truck,856,Coal
2020-08-30,Mine B,Plant 2,Barge,805,Coal
2018-12-30,Mine D,Plant 2,Rail,300,Coal
2018-07-08,Mine A,Plant 4,Rail,516,Coal
2017-08-27,Mine A,Plant 4,Truck,881,Coal
2018-08-19,Mine D,Plant 3,Barge,152,Coal
2018-01-07,Mine D,Plant 3,Truck,732,Coal
2017-11-19,Mine D,Plant 1,Barge,214,Coal
2018-09-02,Mine B,Plant 1,Barge,417,Coal
2022-04-03,Mine C,Plant 4,Truck,200,Coal
2020-03-08,Mine A,Plant 4,Rail,841,Coal
2021-11-07,Mine D,Plant 4,Truck,629,Coal
2021-05-30,Mine C,Plant 2,Truck,784,Coal
2017-04-23,Mine A,Plant 3,Barge,503,Coal
2021-07-18,Mine D,Plant 3,Truck,548,Coal
2021-10-03,Mine B,Plant 3,Rail,691,Coal
2021-06-27,Mine D,Plant 1,Truck,645,Coal
2022-02-06,Mine C,Plant 3,Rail,121,Coal
2020-01-12,Mine D,Plant 3,Barge,572,Coal
2019-06-09,Mine A,Plant 4,Rail,397,Coal
2017-11-05,Mine B,Plant 4,Barge,417,Coal
2018-05-27,Mine A,Plant 4,Barge,741,Coal
2017-11-12,Mine D,Plant 2,Rail,791,Coal
2017-09-03,Mine B,Plant 1,Rail,812,Coal
2017-12-31,Mine A,Plant 1,Truck,352,Coal
2020-07-19,Mine A,Plant 2,Barge,760,Coal
2020-03-08,Mine D,Plant 2,Truck,172,Coal
2020-10-25,Mine B,Plant 1,Barge,682,Coal
2018-11-11,Mine C,Plant 2,Barge,664,Coal
2017-06-18,Mine D,Plant 3,Truck,712,Coal
2017-04-09,Mine D,Plant 2,Rail,736,Coal
2021-01-10,Mine C,Plant 2,Barge,258,Coal
2021-01-31,Mine D,Plant 4,Barge,428,Coal
2017-03-26,Mine C,Plant 2,Truck,617,Coal
2021-08-22,Mine B,Plant 2,Truck,668,Coal
2019-03-24,Mine A,Plant 1,Truck,276,Coal
2022-10-30,Mine D,Plant 3,Truck,534,Coal
2017-04-23,Mine D,Plant 1,Barge,819,Coal
2017-05-14,Mine D,Plant 1,Rail,873,Coal
2019-10-06,Mine D,Plant 2,Truck,754,Coal
2022-02-20,Mine D,Plant 3,Rail,429,Coal
2018-03-11,Mine D,Plant 3,Rail,447,Coal
2018-04-15,Mine A,Plant 3,Rail,973,Coal
2021-08-01,Mine A,Plant 1,Barge,920,Coal
2017-01-15,Mine C,Plant 1,Barge,715,Coal
2019-05-19,Mine A,Plant 4,Rail,466,Coal
2017-06-04,Mine C,Plant 4,Truck,970,Coal
2020-10-11,Mine A,Plant 3,Truck,980,Coal
2021-09-05,Mine C,Plant 1,Truck,978,Coal
2019-12-15,Mine D,Plant 3,Barge,862,Coal
2020-10-04,Mine A,Plant 2,Barge,234,Coal
2017-03-05,Mine D,Plant 1,Barge,158,Coal
2017-10-15,Mine A,Plant 4,Truck,143,Coal
2018-07-08,Mine B,Plant 1,Truck,322,Coal
2017-04-16,Mine A,Plant 1,Truck,917,Coal
2022-01-09,Mine A,Plant 3,Truck,578,Coal
2019-06-23,Mine A,Plant 1,Barge,392,Coal
2017-05-28,Mine C,Plant 2,Truck,808,Coal
2019-02-17,Mine A,Plant 3,Rail,535,Coal
2018-06-03,Mine B,Plant 2,Truck,387,Coal
2022-10-23,Mine A,Plant 4,Barge,507,Coal
2019-04-28,Mine A,Plant 4,Rail,949,Coal
2020-10-11,Mine B,Plant 4,Rail,345,Coal
2022-01-16,Mine C,Plant 4,Barge,897,Coal
2018-03-11,Mine C,Plant 2,Truck,254,Coal
2019-11-10,Mine D,Plant 3,Rail,911,Coal
2020-11-22,Mine A,Plant 2,Barge,995,Coal
2020-08-09,Mine D,Plant 3,Barge,698,Coal
2018-12-16,Mine D,Plant 2,Rail,190,Coal
2018-05-20,Mine B,Plant 2,Barge,181,Coal
2021-06-13,Mine A,Plant 4,Barge,473,Coal
2017-10-22,Mine D,Plant 3,Rail,316,Coal
2018-01-28,Mine C,Plant 1,Barge,931,Coal
2020-06-07,Mine B,Plant 2,Rail,852,Coal
2020-10-11,Mine A,Plant 1,Rail,479,Coal
2018-11-25,Mine D,Plant 4,Rail,483,Coal
2019-02-10,Mine B,Plant 3,Rail,370,Coal
2019-09-01,Mine D,Plant 4,Truck,890,Coal
2017-04-16,Mine C,Plant 2,Truck,880,Coal
2021-08-01,Mine A,Plant 4,Barge,243,Coal
2017-11-12,Mine D,Plant 3,Truck,157,Coal
2019-09-29,Mine B,Plant 2,Truck,878,Coal
2019-02-24,Mine B,Plant 1,Rail,812,Coal
2020-02-09,Mine C,Plant 1,Rail,448,Coal
2021-03-28,Mine D,Plant 2,Truck,806,Coal
2018-01-14,Mine D,Plant 3,Truck,545,Coal
2018-06-24,Mine C,Plant 1,Rail,919,Coal
2022-04-10,Mine B,Plant 3,Truck,731,Coal
2022-02-13,Mine D,Plant 1,Rail,842,Coal
2020-11-22,Mine A,Plant 1,Rail,895,Coal
2017-09-24,Mine D,Plant 1,Truck,270,Coal
2018-02-04,Mine A,Plant 2,Barge,530,Coal
2020-11-29,Mine A,Plant 3,Rail,950,Coal
2017-01-15,Mine D,Plant 2,Barge,160,Coal
2017-01-22,Mine A,Plant 3,Rail,424,Coal
2020-09-06,Mine A,Plant 4,Rail,485,Coal
2019-12-08,Mine D,Plant 3,Barge,799,Coal
2017-05-07,Mine C,Plant 1,Rail,522,Coal
2019-05-19,Mine B,Plant 1,Barge,103,Coal
2022-01-02,Mine B,Plant 2,Barge,796,Coal
2017-10-15,Mine D,Plant 4,Barge,296,Coal
2020-11-08,Mine B,Plant 4,Truck,961,Coal
2017-05-28,Mine A,Plant 4,Rail,969,Coal
2021-08-15,Mine B,Plant 1,Truck,944,Coal
2020-12-27,Mine A,Plant 2,Rail,330,Coal
2019-06-09,Mine B,Plant 2,Barge,245,Coal
2021-06-20,Mine B,Plant 2,Rail,137,Coal
2018-03-25,Mine D,Plant 2,Truck,650,Coal
2021-07-04,Mine A,Plant 2,Truck,797,Coal
2017-04-30,Mine A,Plant 3,Barge,828,Coal
2019-11-24,Mine D,Plant 3,Rail,602,Coal
2019-02-10,Mine A,Plant 2,Truck,133,Coal
2020-09-06,Mine C,Plant 3,Rail,246,Coal
2021-09-26,Mine A,Plant 1,Barge,557,Coal
2018-05-20,Mine B,Plant 2,Barge,165,Coal
2018-07-15,Mine C,Plant 2,Rail,514,Coal
2020-10-18,Mine C,Plant 4,Rail,562,Coal
2018-08-26,Mine D,Plant 2,Barge,827,Coal
2022-08-28,Mine B,Plant 1,Rail,409,Coal
2019-09-22,Mine D,Plant 1,Rail,346,Coal
2022-10-16,Mine A,Plant 1,Truck,130,Coal
2022-05-01,Mine B,Plant 4,Rail,581,Coal
2017-11-05,Mine A,Plant 4,Rail,297,Coal
2022-09-25,Mine A,Plant 1,Barge,322,Coal
2021-01-17,Mine B,Plant 2,Rail,497,Coal
2017-04-23,Mine C,Plant 3,Rail,239,Coal
2020-06-28,Mine A,Plant 2,Barge,341,Coal
2018-07-01,Mine D,Plant 2,Rail,525,Coal
2022-05-15,Mine D,Plant 3,Barge,897,Coal
2021-05-16,Mine D,Plant 2,Rail,126,Coal
2018-11-18,Mine C,Plant 1,Barge,925,Coal
2022-08-07,Mine A,Plant 3,Truck,844,Coal
2019-04-28,Mine D,Plant 1,Barge,259,Coal
2019-11-17,Mine D,Plant 1,Rail,655,Coal
2020-12-06,Mine D,Plant 2,Barge,410,Coal
2017-08-13,Mine B,Plant 1,Rail,280,Coal
2020-08-09,Mine B,Plant 2,Rail,117,Coal
2020-05-17,Mine B,Plant 3,Barge,304,Coal
2021-04-25,Mine D,Plant 2,Rail,626,Coal
2017-10-22,Mine B,Plant 1,Barge,229,Coal
2018-10-07,Mine A,Plant 3,Rail,111,Coal
2017-03-05,Mine C,Plant 4,Rail,418,Coal
2021-01-31,Mine C,Plant 1,Rail,407,Coal
2020-11-22,Mine A,Plant 2,Rail,726,Coal
2017-01-01,Mine A,Plant 2,Truck,229,Coal
2018-01-07,Mine B,Plant 2,Rail,412,Coal
2017-11-26,Mine C,Plant 4,Barge,969,Coal
2020-08-16,Mine C,Plant 2,Truck,848,Coal
2018-03-04,Mine A,Plant 2,Truck,820,Coal
2018-12-23,Mine A,Plant 3,Rail,766,Coal
2021-10-03,Mine D,Plant 4,Barge,545,Coal
2018-07-29,Mine B,Plant 3,Barge,437,Coal
2017-09-10,Mine B,Plant 2,Rail,433,Coal
2020-07-26,Mine D,Plant 2,Rail,483,Coal
2017-10-29,Mine D,Plant 2,Barge,219,Coal
2020-01-26,Mine C,Plant 4,Barge,227,Coal
2020-09-13,Mine D,Plant 4,Barge,459,Coal
2017-03-26,Mine D,Plant 3,Truck,734,Coal
2020-04-26,Mine D,Plant 1,Truck,172,Coal
2019-05-05,Mine B,Plant 4,Barge,667,Coal
2017-05-28,Mine B,Plant 3,Barge,749,Coal
2018-08-19,Mine D,Plant 4,Rail,266,Coal
2019-02-24,Mine C,Plant 1,Truck,868,Coal
2020-03-15,Mine C,Plant 2,Barge,643,Coal
2018-12-02,Mine B,Plant 1,Rail,391,Coal
2019-06-16,Mine A,Plant 1,Barge,687,Coal
2018-05-13,Mine D,Plant 3,Rail,186,Coal
2021-02-28,Mine D,Plant 2,Truck,557,Coal
2021-08-01,Mine C,Plant 4,Truck,542,Coal
2022-04-17,Mine C,Plant 1,Truck,689,Coal
2017-07-09,Mine D,Plant 1,Barge,299,Coal
2020-01-19,Mine B,Plant 4,Truck,984,Coal
2021-03-28,Mine D,Plant 4,Rail,329,Coal
2022-04-17,Mine D,Plant 2,Barge,576,Coal
2022-01-23,Mine A,Plant 2,Truck,645,Coal
2022-02-06,Mine D,Plant 3,Rail,661,Coal
2021-11-14,Mine A,Plant 4,Truck,873,Coal
2021-01-24,Mine D,Plant 4,Barge,844,Coal
2019-06-30,Mine B,Plant 2,Truck,383,Coal
2018-06-17,Mine A,Plant 1,Barge,341,Coal
2021-09-19,Mine C,Plant 3,Truck,232,Coal
2021-03-14,Mine B,Plant 3,Rail,737,Coal
2017-01-22,Mine B,Plant 4,Rail,581,Coal
2022-01-02,Mine A,Plant 3,Truck,674,Coal
2019-08-18,Mine D,Plant 1,Rail,363,Coal
2019-10-13,Mine C,Plant 4,Rail,606,Coal
2019-07-28,Mine D,Plant 4,Barge,759,Coal
2020-02-09,Mine D,Plant 3,Truck,123,Coal
2018-11-18,Mine D,Plant 4,Rail,361,Coal
2017-02-26,Mine D,Plant 3,Barge,189,Coal
2022-08-28,Mine D,Plant 3,Rail,439,Coal
2021-12-26,Mine C,Plant 2,Rail,804,Coal
2021-01-31,Mine A,Plant 2,Truck,538,Coal
2022-01-23,Mine B,Plant 2,Rail,439,Coal
2017-12-10,Mine B,Plant 3,Barge,263,Coal
2019-10-20,Mine D,Plant 4,Barge,343,Coal
2017-06-04,Mine C,Plant 4,Rail,871,Coal
2020-09-20,Mine A,Plant 4,Rail,608,Coal
2017-07-02,Mine C,Plant 4,Barge,586,Coal
2022-08-14,Mine B,Plant 1,Barge,549,Coal
2018-11-04,Mine A,Plant 1,Rail,951,Coal
2022-08-28,Mine C,Plant 3,Rail,847,Coal
2022-11-13,Mine A,Plant 4,Barge,375,Coal
2019-02-17,Mine B,Plant 3,Truck,687,Coal
2022-01-30,Mine D,Plant 1,Truck,911,Coal
2019-06-30,Mine B,Plant 1,Barge,444,Coal
2020-06-28,Mine A,Plant 3,Truck,872,Coal
2021-11-28,Mine D,Plant 4,Barge,419,Coal
2022-05-08,Mine C,Plant 2,Barge,584,Coal
2021-10-10,Mine D,Plant 3,Barge,582,Coal
2021-06-13,Mine A,Plant 2,Truck,599,Coal
2020-10-11,Mine C,Plant 4,Truck,586,Coal
2020-04-12,Mine A,Plant 4,Truck,899,Coal
2018-04-29,Mine D,Plant 3,Barge,199,Coal
2018-12-30,Mine D,Plant 3,Rail,799,Coal
2020-01-19,Mine C,Plant 4,Rail,599,Coal
2020-02-09,Mine B,Plant 1,Truck,262,Coal
2020-03-29,Mine A,Plant 4,Truck,447,Coal
2019-09-15,Mine A,Plant 3,Rail,664,Coal
2022-08-14,Mine A,Plant 4,Barge,167,Coal
2017-11-05,Mine D,Plant 3,Barge,933,Coal
2017-07-16,Mine B,Plant 4,Barge,243,Coal
2021-09-12,Mine A,Plant 1,Truck,997,Coal
2022-12-04,Mine D,Plant 4,Truck,972,Coal
2020-12-13,Mine C,Plant 2,Rail,353,Coal
2019-07-21,Mine A,Plant 2,Barge,691,Coal
2020-03-08,Mine B,Plant 1,Truck,558,Coal
2022-03-27,Mine B,Plant 3,Truck,777,Coal
2021-11-21,Mine B,Plant 2,Rail,232,Coal
2021-06-20,Mine A,Plant 1,Barge,291,Coal
2019-06-16,Mine D,Plant 4,Rail,464,Coal
2018-01-07,Mine D,Plant 2,Truck,355,Coal
2017-03-26,Mine D,Plant 4,Rail,280,Coal
2019-02-10,Mine D,Plant 4,Rail,842,Coal
2017-07-30,Mine D,Plant 3,Rail,962,Coal
2021-09-19,Mine A,Plant 3,Rail,723,Coal
2020-01-26,Mine A,Plant 2,Rail,252,Coal
2019-02-10,Mine D,Plant 2,Barge,673,Coal
2022-01-30,Mine D,Plant 2,Barge,552,Coal
2018-05-13,Mine B,Plant 1,Barge,945,Coal
2020-06-21,Mine B,Plant 1,Truck,134,Coal
2017-12-31,Mine D,Plant 1,Truck,249,Coal
2021-02-21,Mine A,Plant 2,Truck,116,Coal
2022-04-10,Mine C,Plant 1,Barge,527,Coal
2018-12-16,Mine D,Plant 3,Barge,734,Coal
2017-02-26,Mine B,Plant 2,Barge,809,Coal
2021-08-22,Mine C,Plant 2,Barge,484,Coal
2017-08-13,Mine D,Plant 2,Rail,930,Coal
2019-06-02,Mine D,Plant 4,Rail,318,Coal
2019-04-07,Mine C,Plant 3,Truck,470,Coal
2020-07-05,Mine C,Plant 3,Barge,679,Coal
2021-04-18,Mine A,Plant 2,Truck,675,Coal
2022-05-29,Mine B,Plant 3,Truck,586,Coal
2018-09-23,Mine B,Plant 1,Barge,150,Coal
2021-03-07,Mine C,Plant 4,Barge,408,Coal
2021-03-28,Mine D,Plant 4,Barge,374,Coal
2021-09-26,Mine B,Plant 3,Rail,579,Coal
2018-03-04,Mine A,Plant 4,Barge,302,Coal
2021-11-07,Mine B,Plant 2,Barge,783,Coal
2017-06-11,Mine D,Plant 3,Rail,556,Coal
2021-04-04,Mine B,Plant 2,Rail,168,Coal
2021-12-26,Mine C,Plant 4,Truck,500,Coal
2018-09-16,Mine A,Plant 2,Barge,874,Coal
2018-12-23,Mine A,Plant 1,Barge,416,Coal
2017-07-16,Mine D,Plant 3,Rail,822,Coal
2018-01-28,Mine D,Plant 1,Barge,728,Coal
2018-11-04,Mine D,Plant 3,Truck,145,Coal
2019-06-09,Mine A,Plant 4,Barge,697,Coal
2019-08-11,Mine D,Plant 3,Rail,295,Coal
2020-01-05,Mine C,Plant 3,Truck,264,Coal
2022-03-20,Mine C,Plant 1,Barge,248,Coal
2021-09-05,Mine C,Plant 1,Truck,849,Coal
2020-05-24,Mine A,Plant 4,Rail,143,Coal
2021-06-27,Mine B,Plant 2,Rail,906,Coal
2019-05-26,Mine D,Plant 1,Barge,878,Coal
2018-09-16,Mine B,Plant 1,Rail,488,Coal
2021-01-24,Mine B,Plant 4,Rail,443,Coal
2022-10-02,Mine A,Plant 1,Barge,657,Coal
2020-05-24,Mine B,Plant 4,Truck,702,Coal
2018-11-11,Mine B,Plant 3,Rail,149,Coal
2018-06-03,Mine D,Plant 3,Truck,867,Coal
2022-09-25,Mine C,Plant 3,Rail,336,Coal
2019-11-10,Mine C,Plant 4,Truck,811,Coal
2017-10-08,Mine D,Plant 2,Rail,575,Coal
2021-06-27,Mine C,Plant 2,Rail,895,Coal
2022-12-11,Mine C,Plant 1,Barge,659,Coal
2019-11-03,Mine D,Plant 4,Truck,408,Coal
2022-07-03,Mine D,Plant 4,Barge,172,Coal
2022-12-25,Mine B,Plant 1,Rail,328,Coal
2017-11-19,Mine D,Plant 1,Truck,532,Coal
2019-03-24,Mine A,Plant 1,Barge,316,Coal
2018-02-25,Mine B,Plant 3,Truck,502,Coal
2020-04-05,Mine B,Plant 3,Barge,158,Coal
2020-04-26,Mine C,Plant 4,Truck,434,Coal
2017-07-23,Mine B,Plant 3,Barge,405,Coal
2022-05-22,Mine B,Plant 1,Barge,995,Coal
2017-10-22,Mine D,Plant 4,Truck,852,Coal
2020-07-12,Mine C,Plant 4,Barge,485,Coal
2019-12-15,Mine A,Plant 3,Rail,439,Coal
2017-10-22,Mine D,Plant 3,Barge,533,Coal
2019-08-25,Mine B,Plant 2,Barge,280,Coal
2020-05-31,Mine B,Plant 4,Rail,773,Coal
2019-06-30,Mine D,Plant 4,Truck,630,Coal
2017-12-03,Mine D,Plant 4,Rail,870,Coal
2019-12-29,Mine D,Plant 1,Rail,801,Coal
2017-09-17,Mine D,Plant 4,Truck,194,Coal
2019-07-21,Mine A,Plant 1,Truck,966,Coal
2019-01-20,Mine B,Plant 4,Truck,759,Coal
2017-04-30,Mine B,Plant 1,Rail,300,Coal
2021-08-08,Mine B,Plant 2,Truck,358,Coal
2019-03-10,Mine D,Plant 4,Rail,219,Coal
2019-11-24,Mine C,Plant 4,Rail,368,Coal
2021-12-19,Mine C,Plant 3,Truck,626,Coal
2017-01-15,Mine B,Plant 3,Truck,437,Coal
2021-09-26,Mine C,Plant 1,Barge,898,Coal
2020-11-08,Mine D,Plant 3,Truck,238,Coal
2019-04-21,Mine C,Plant 2,Truck,399,Coal
2019-08-18,Mine D,Plant 2,Truck,367,Coal
2019-09-15,Mine D,Plant 2,Rail,994,Coal
2020-03-22,Mine A,Plant 2,Rail,516,Coal
2017-09-10,Mine C,Plant 1,Truck,243,Coal
2022-02-13,Mine B,Plant 3,Rail,736,Coal
2020-10-18,Mine D,Plant 4,Barge,513,Coal
2019-07-21,Mine C,Plant 3,Truck,224,Coal
2017-08-20,Mine B,Plant 4,Rail,985,Coal
2021-04-04,Mine A,Plant 4,Rail,414,Coal
2018-12-23,Mine D,Plant 2,Truck,279,Coal
2017-04-30,Mine B,Plant 4,Truck,833,Coal
2022-02-27,Mine C,Plant 1,Truck,787,Coal
2019-11-24,Mine B,Plant 2,Truck,374,Coal
2022-01-23,Mine A,Plant 1,Barge,863,Coal
2017-12-31,Mine D,Plant 4,Rail,464,Coal
2020-12-13,Mine C,Plant 3,Barge,351,Coal
2020-12-20,Mine C,Plant 1,Barge,597,Coal
2017-09-17,Mine D,Plant 2,Truck,199,Coal
2021-11-07,Mine D,Plant 3,Barge,768,Coal
2022-12-04,Mine C,Plant 4,Truck,967,Coal
2022-09-18,Mine A,Plant 4,Barge,767,Coal
2019-07-07,Mine B,Plant 2,Barge,514,Coal
2022-04-24,Mine C,Plant 1,Truck,305,Coal
2022-02-20,Mine C,Plant 4,Rail,906,Coal
2020-02-23,Mine D,Plant 3,Barge,984,Coal
2020-10-11,Mine A,Plant 4,Truck,817,Coal
2022-04-10,Mine C,Plant 1,Barge,142,Coal
2019-06-23,Mine C,Plant 2,Rail,840,Coal
2019-03-24,Mine D,Plant 4,Barge,723,Coal
2018-12-02,Mine B,Plant 3,Rail,804,Coal
2019-09-15,Mine C,Plant 2,Barge,426,Coal
2020-10-11,Mine B,Plant 3,Rail,772,Coal
2019-12-29,Mine B,Plant 3,Barge,352,Coal
2017-05-14,Mine D,Plant 1,Barge,791,Coal
2021-08-08,Mine D,Plant 1,Truck,731,Coal
2020-07-26,Mine A,Plant 3,Barge,877,Coal
2022-06-12,Mine D,Plant 1,Truck,668,Coal
2019-06-23,Mine C,Plant 2,Barge,448,Coal
