,Server_Type,Electricity_Rate_USD_per_kWh,Hours_Operated,Power_Usage_Watts,Electricity_Cost_USD
68,Type E,0.1,3000,850,255.0
69,Type A,0.1,3000,1367,410.1
70,Type E,0.25,2000,770,385.0
71,Type B,0.12,1000,726,87.12
72,Type C,0.12,2000,931,223.44
73,Type E,0.2,3000,1128,676.8
74,Type B,0.12,2000,541,129.84
75,Type E,0.1,1000,1480,148.0
76,Type E,0.2,1000,854,170.8
77,Type A,0.1,1000,1223,122.3
78,Type D,0.1,4000,1455,582.0
79,Type C,0.25,3000,828,621.0
80,Type C,0.25,2000,1387,693.5
81,Type A,0.15,5000,967,725.25
82,Type C,0.2,3000,538,322.8
83,Type A,0.12,2000,882,211.68
84,Type A,0.12,1000,1497,179.64
85,Type B,0.15,5000,1251,938.25
86,Type B,0.1,1000,1204,120.4
87,Type D,0.2,5000,972,972.0
88,Type D,0.25,2000,760,380.0
89,Type E,0.12,2000,1169,280.56
90,Type A,0.12,3000,756,272.16
91,Type B,0.25,5000,1363,1703.75
92,Type C,0.1,1000,780,78.0
93,Type E,0.1,3000,553,165.9
94,Type A,0.25,2000,860,430.0
95,Type E,0.15,5000,1239,929.25
96,Type A,0.2,5000,627,627.0
97,Type A,0.12,4000,796,382.08
98,Type E,0.25,2000,968,484.0
99,Type D,0.1,2000,737,147.4
100,Type A,0.15,1000,856,128.4
101,Type D,0.25,2000,665,332.5
102,Type A,0.15,4000,1053,631.8
103,Type C,0.2,1000,975,195.0
104,Type E,0.12,2000,1429,342.96
105,Type A,0.2,5000,884,884.0
106,Type D,0.15,1000,1103,165.45
107,Type D,0.1,5000,847,423.5
108,Type C,0.1,4000,709,283.6
109,Type D,0.1,4000,608,243.2
110,Type A,0.2,5000,697,697.0
111,Type B,0.15,5000,1191,893.25
112,Type E,0.1,5000,671,335.5
113,Type E,0.12,3000,727,261.72
114,Type A,0.1,3000,1447,434.1
115,Type A,0.1,5000,1203,601.5
116,Type B,0.12,2000,1223,293.52
117,Type C,0.2,5000,1288,1288.0
118,Type A,0.1,5000,1446,723.0
119,Type A,0.15,4000,763,457.8
120,Type E,0.12,2000,1109,266.16
121,Type C,0.2,2000,760,304.0
122,Type B,0.15,5000,843,632.25
123,Type D,0.15,4000,689,413.4
124,Type D,0.1,3000,1187,356.1
125,Type E,0.12,5000,844,506.4
126,Type C,0.2,5000,868,868.0
127,Type D,0.15,2000,1078,323.4
128,Type B,0.12,5000,833,499.8
129,Type B,0.2,1000,572,114.4
130,Type B,0.12,2000,1080,259.2
131,Type D,0.1,2000,1481,296.2
132,Type C,0.2,5000,787,787.0
133,Type D,0.12,5000,1206,723.6
134,Type A,0.25,5000,628,785.0
135,Type C,0.25,2000,797,398.5
136,Type B,0.2,3000,537,322.2
137,Type A,0.12,3000,1294,465.84
138,Type C,0.2,2000,1177,470.8
139,Type E,0.25,5000,605,756.25
140,Type E,0.12,4000,1202,576.96
141,Type C,0.2,4000,1038,830.4
142,Type E,0.25,1000,696,174.0
143,Type B,0.2,4000,1023,818.4
144,Type B,0.15,5000,663,497.25
145,Type E,0.2,5000,1105,1105.0
146,Type E,0.2,3000,949,569.4
147,Type D,0.1,2000,1166,233.2
148,Type B,0.1,3000,727,218.1
149,Type C,0.1,5000,1295,647.5
150,Type D,0.25,4000,653,653.0
151,Type C,0.25,3000,1016,762.0
152,Type C,0.15,5000,1464,1098.0
153,Type B,0.12,5000,1017,610.2
154,Type D,0.12,4000,597,286.56
155,Type E,0.15,2000,1256,376.8
156,Type C,0.2,2000,569,227.6
157,Type B,0.1,2000,774,154.8
158,Type C,0.25,1000,908,227.0
159,Type A,0.1,1000,1122,112.2
160,Type D,0.12,4000,866,415.68
161,Type C,0.1,2000,1242,248.4
162,Type D,0.12,3000,1122,403.92
163,Type C,0.15,5000,554,415.5
164,Type E,0.12,5000,928,556.8
165,Type C,0.25,4000,1231,1231.0
166,Type B,0.1,2000,761,152.2
167,Type E,0.25,5000,1496,1870.0
168,Type E,0.25,1000,1218,304.5
169,Type C,0.1,3000,1093,327.9
170,Type C,0.1,4000,1286,514.4
171,Type E,0.15,3000,807,363.15
172,Type E,0.1,2000,967,193.4
173,Type C,0.25,3000,1125,843.75
174,Type C,0.1,2000,1493,298.6
175,Type D,0.25,1000,642,160.5
176,Type C,0.15,5000,1084,813.0
177,Type E,0.25,3000,662,496.5
178,Type A,0.12,5000,1046,627.6
179,Type C,0.2,1000,640,128.0
180,Type C,0.12,1000,666,79.92
181,Type C,0.1,2000,725,145.0
182,Type D,0.25,4000,1450,1450.0
183,Type A,0.2,3000,905,543.0
184,Type B,0.12,4000,964,462.72
185,Type A,0.1,2000,1172,234.4
186,Type E,0.25,1000,603,150.75
187,Type A,0.1,3000,1028,308.4
188,Type D,0.1,4000,686,274.4
189,Type C,0.25,1000,605,151.25
190,Type C,0.2,3000,1413,847.8
191,Type C,0.25,2000,1225,612.5
192,Type A,0.1,3000,687,206.1
193,Type D,0.25,1000,973,243.25
194,Type B,0.25,4000,1260,1260.0
195,Type C,0.25,2000,834,417.0
196,Type B,0.25,4000,787,787.0
197,Type A,0.2,2000,1392,556.8
198,Type A,0.25,1000,516,129.0
199,Type E,0.12,5000,550,330.0
200,Type A,0.12,2000,719,172.56
201,Type A,0.12,5000,608,364.8
202,Type C,0.12,1000,703,84.36
203,Type D,0.15,4000,1204,722.4
204,Type A,0.2,1000,1170,234.0
205,Type B,0.2,4000,1060,848.0
206,Type D,0.1,4000,1369,547.6
207,Type C,0.2,5000,1068,1068.0
208,Type B,0.15,3000,1368,615.6
209,Type C,0.25,5000,968,1210.0
210,Type C,0.15,4000,1249,749.4
211,Type C,0.12,3000,1386,498.96
212,Type D,0.2,4000,836,668.8
213,Type B,0.1,3000,1249,374.7
214,Type C,0.15,2000,1201,360.3
215,Type A,0.2,4000,564,451.2
216,Type B,0.12,2000,818,196.32
217,Type B,0.1,3000,1263,378.9
218,Type E,0.15,2000,1266,379.8
219,Type E,0.15,1000,1195,179.25
220,Type B,0.1,5000,1447,723.5
221,Type E,0.15,3000,1055,474.75
222,Type C,0.25,5000,1173,1466.25
223,Type B,0.12,2000,766,183.84
224,Type C,0.25,4000,1183,1183.0
225,Type E,0.15,1000,966,144.9
226,Type B,0.12,1000,632,75.84
227,Type E,0.12,1000,1046,125.52
228,Type C,0.25,4000,1166,1166.0
229,Type A,0.2,1000,1429,285.8
230,Type E,0.12,2000,1165,279.6
231,Type D,0.1,5000,1095,547.5
232,Type B,0.12,4000,1261,605.28
233,Type C,0.12,5000,880,528.0
234,Type D,0.12,3000,944,339.84
235,Type B,0.12,3000,786,282.96
236,Type E,0.12,5000,1410,846.0
237,Type E,0.25,2000,1468,734.0
238,Type A,0.15,2000,609,182.7
239,Type E,0.1,5000,1384,692.0
240,Type C,0.25,4000,1413,1413.0
241,Type D,0.1,4000,1138,455.2
242,Type C,0.25,3000,1356,1017.0
243,Type A,0.12,5000,923,553.8
244,Type A,0.25,5000,1025,1281.25
245,Type E,0.1,3000,1117,335.1
246,Type B,0.25,3000,652,489.0
247,Type B,0.25,1000,1233,308.25
248,Type C,0.2,1000,854,170.8
249,Type B,0.2,5000,878,878.0
250,Type A,0.12,3000,1264,455.04
251,Type C,0.2,2000,613,245.2
252,Type D,0.25,1000,1290,322.5
253,Type D,0.1,3000,706,211.8
254,Type E,0.25,1000,890,222.5
255,Type B,0.15,3000,1389,625.05
256,Type A,0.25,1000,1264,316.0
257,Type E,0.12,3000,702,252.72
258,Type D,0.15,5000,1013,759.75
259,Type A,0.1,4000,1008,403.2
260,Type E,0.15,4000,762,457.2
261,Type E,0.12,1000,735,88.2
262,Type B,0.15,1000,982,147.3
263,Type D,0.2,4000,584,467.2
264,Type E,0.1,2000,552,110.4
265,Type C,0.12,3000,992,357.12
266,Type E,0.1,2000,1406,281.2
267,Type D,0.1,2000,593,118.6
268,Type E,0.2,1000,1198,239.6
269,Type C,0.1,4000,1023,409.2
270,Type B,0.12,2000,935,224.4
271,Type A,0.2,2000,659,263.6
272,Type D,0.1,3000,1264,379.2
273,Type A,0.15,5000,758,568.5
274,Type D,0.12,5000,1229,737.4
275,Type C,0.1,1000,1233,123.3
276,Type D,0.12,1000,1274,152.88
277,Type E,0.1,2000,677,135.4
278,Type C,0.15,4000,1416,849.6
279,Type E,0.12,5000,570,342.0
280,Type B,0.1,2000,690,138.0
281,Type C,0.15,4000,1443,865.8
282,Type C,0.1,3000,1207,362.1
283,Type D,0.2,3000,1315,789.0
284,Type E,0.15,4000,850,510.0
285,Type E,0.12,4000,533,255.84
286,Type D,0.1,1000,573,57.3
287,Type C,0.2,3000,1259,755.4
288,Type D,0.15,5000,1204,903.0
289,Type A,0.15,5000,518,388.5
290,Type D,0.1,5000,792,396.0
291,Type B,0.12,1000,866,103.92
292,Type E,0.25,4000,652,652.0
293,Type A,0.25,1000,560,140.0
294,Type D,0.2,1000,666,133.2
295,Type A,0.2,2000,974,389.6
296,Type D,0.2,1000,1299,259.8
297,Type E,0.25,4000,897,897.0
298,Type B,0.15,4000,1451,870.6
299,Type D,0.1,3000,1184,355.2
300,Type D,0.25,3000,578,433.5
301,Type D,0.1,1000,1165,116.5
302,Type B,0.12,5000,1017,610.2
303,Type C,0.12,5000,1152,691.2
304,Type A,0.25,1000,1299,324.75
305,Type E,0.2,3000,807,484.2
306,Type C,0.1,3000,895,268.5
307,Type C,0.1,2000,598,119.6
308,Type D,0.25,3000,854,640.5
309,Type B,0.25,1000,1255,313.75
310,Type A,0.12,1000,1361,163.32
311,Type A,0.2,4000,548,438.4
312,Type D,0.25,3000,1483,1112.25
313,Type B,0.25,3000,500,375.0
314,Type A,0.25,5000,1081,1351.25
315,Type D,0.25,5000,1488,1860.0
316,Type B,0.2,2000,900,360.0
317,Type D,0.2,5000,796,796.0
318,Type B,0.25,4000,1437,1437.0
319,Type D,0.1,4000,1215,486.0
320,Type A,0.25,2000,1325,662.5
321,Type A,0.12,2000,1337,320.88
322,Type A,0.15,3000,1339,602.55
323,Type C,0.1,2000,823,164.6
324,Type B,0.25,2000,674,337.0
325,Type C,0.12,1000,1309,157.08
326,Type D,0.15,3000,1196,538.2
327,Type D,0.1,2000,1321,264.2
328,Type C,0.2,5000,950,950.0
329,Type C,0.2,3000,1170,702.0
330,Type A,0.15,4000,1352,811.2
331,Type E,0.2,2000,1034,413.6
332,Type D,0.12,2000,610,146.4
333,Type D,0.2,3000,1053,631.8
334,Type D,0.25,5000,1138,1422.5
335,Type D,0.15,4000,1165,699.0
336,Type D,0.2,5000,1450,1450.0
337,Type E,0.12,3000,803,289.08
338,Type E,0.1,5000,714,357.0
339,Type D,0.15,2000,718,215.4
340,Type A,0.12,4000,1118,536.64
341,Type D,0.1,1000,819,81.9
342,Type D,0.15,5000,1390,1042.5
343,Type B,0.2,1000,912,182.4
344,Type D,0.25,2000,610,305.0
345,Type C,0.15,1000,910,136.5
346,Type A,0.15,1000,738,110.7
347,Type E,0.25,5000,872,1090.0
348,Type E,0.1,5000,1104,552.0
349,Type D,0.12,3000,980,352.8
350,Type D,0.2,1000,1323,264.6
351,Type A,0.2,5000,1280,1280.0
352,Type C,0.15,2000,1484,445.2
353,Type C,0.25,3000,1178,883.5
354,Type A,0.15,3000,1233,554.85
355,Type E,0.2,2000,1360,544.0
356,Type B,0.1,3000,1480,444.0
357,Type E,0.15,2000,1473,441.9
358,Type E,0.12,3000,1444,519.84
359,Type D,0.15,3000,1070,481.5
360,Type D,0.15,2000,833,249.9
361,Type C,0.12,5000,1293,775.8
362,Type D,0.15,3000,889,400.05
363,Type C,0.25,2000,686,343.0
364,Type B,0.15,4000,724,434.4
365,Type E,0.2,3000,851,510.6
366,Type A,0.25,1000,1196,299.0
367,Type E,0.25,1000,1267,316.75
368,Type C,0.15,2000,776,232.8
369,Type C,0.12,3000,1273,458.28
370,Type E,0.1,4000,1230,492.0
371,Type E,0.12,3000,751,270.36
372,Type C,0.1,4000,878,351.2
373,Type B,0.25,3000,1116,837.0
374,Type A,0.12,3000,693,249.48
375,Type B,0.25,4000,1220,1220.0
376,Type E,0.25,5000,737,921.25
377,Type B,0.1,2000,953,190.6
378,Type B,0.15,4000,1276,765.6
379,Type A,0.25,1000,734,183.5
380,Type C,0.12,4000,1362,653.76
381,Type A,0.2,1000,1363,272.6
382,Type B,0.25,2000,1393,696.5
383,Type C,0.1,3000,863,258.9
384,Type C,0.2,3000,1355,813.0
385,Type C,0.25,4000,1467,1467.0
386,Type D,0.2,4000,776,620.8
387,Type D,0.2,3000,1082,649.2
388,Type B,0.25,3000,1014,760.5
389,Type B,0.2,5000,1089,1089.0
390,Type E,0.1,5000,992,496.0
391,Type A,0.2,2000,935,374.0
392,Type C,0.12,2000,759,182.16
393,Type E,0.2,1000,1370,274.0
394,Type E,0.1,2000,1188,237.6
395,Type B,0.25,3000,1203,902.25
396,Type E,0.2,5000,1086,1086.0
397,Type A,0.15,1000,876,131.4
398,Type A,0.2,5000,1173,1173.0
399,Type A,0.15,5000,670,502.5
400,Type A,0.25,4000,933,933.0
401,Type B,0.1,4000,574,229.6
402,Type B,0.12,1000,1303,156.36
403,Type B,0.12,2000,1341,321.84
404,Type A,0.2,4000,771,616.8
405,Type B,0.12,2000,687,164.88
406,Type E,0.2,2000,1363,545.2
407,Type E,0.15,2000,1031,309.3
408,Type D,0.15,5000,1076,807.0
409,Type C,0.1,2000,892,178.4
410,Type E,0.12,2000,500,120.0
411,Type D,0.2,3000,754,452.4
412,Type E,0.1,4000,1056,422.4
413,Type A,0.25,1000,524,131.0
414,Type A,0.2,5000,1480,1480.0
415,Type A,0.12,2000,1027,246.48
416,Type E,0.12,2000,708,169.92
417,Type D,0.1,3000,809,242.7
418,Type B,0.15,4000,690,414.0
419,Type B,0.1,5000,1424,712.0
420,Type C,0.25,1000,1171,292.75
421,Type E,0.25,3000,889,666.75
422,Type B,0.1,1000,984,98.4
423,Type E,0.12,4000,872,418.56
424,Type B,0.25,5000,1352,1690.0
425,Type A,0.1,5000,564,282.0
426,Type A,0.25,1000,797,199.25
427,Type D,0.12,5000,628,376.8
428,Type A,0.15,2000,854,256.2
429,Type B,0.15,1000,926,138.9
430,Type E,0.1,2000,1386,277.2
431,Type B,0.15,3000,777,349.65
432,Type A,0.2,3000,1054,632.4
433,Type E,0.15,4000,1374,824.4
434,Type E,0.1,2000,1420,284.0
435,Type C,0.2,1000,908,181.6
436,Type B,0.15,4000,870,522.0
437,Type B,0.25,1000,762,190.5
438,Type D,0.15,4000,1161,696.6
439,Type C,0.25,3000,682,511.5
440,Type D,0.12,3000,520,187.2
441,Type E,0.1,4000,1399,559.6
442,Type D,0.12,1000,1030,123.6
443,Type B,0.1,5000,1192,596.0
444,Type D,0.1,1000,1304,130.4
445,Type A,0.25,5000,1433,1791.25
446,Type A,0.2,4000,873,698.4
447,Type D,0.2,4000,785,628.0
448,Type D,0.25,2000,1278,639.0
449,Type A,0.25,2000,761,380.5
450,Type E,0.2,2000,1067,426.8
451,Type E,0.15,2000,1004,301.2
452,Type C,0.15,5000,1233,924.75
453,Type E,0.1,3000,759,227.7
454,Type A,0.2,5000,684,684.0
455,Type B,0.2,1000,1069,213.8
456,Type B,0.15,1000,1080,162.0
457,Type B,0.12,2000,641,153.84
458,Type C,0.1,3000,639,191.7
459,Type D,0.25,3000,1132,849.0
460,Type D,0.15,5000,1417,1062.75
461,Type D,0.2,5000,654,654.0
462,Type C,0.25,2000,1165,582.5
463,Type C,0.1,5000,1168,584.0
464,Type B,0.25,4000,1423,1423.0
465,Type A,0.1,4000,564,225.6
466,Type D,0.1,4000,537,214.8
467,Type C,0.25,1000,1020,255.0
468,Type E,0.15,3000,1492,671.4
469,Type B,0.2,5000,508,508.0
470,Type E,0.15,3000,1141,513.45
471,Type E,0.12,3000,861,309.96
472,Type C,0.15,3000,689,310.05
473,Type C,0.15,5000,1171,878.25
474,Type E,0.25,5000,512,640.0
475,Type A,0.12,1000,942,113.04
476,Type B,0.2,3000,800,480.0
477,Type C,0.12,3000,637,229.32
478,Type D,0.12,2000,1413,339.12
479,Type D,0.25,5000,1385,1731.25
480,Type C,0.12,2000,1194,286.56
481,Type C,0.25,1000,1224,306.0
482,Type D,0.12,2000,709,170.16
483,Type D,0.12,4000,657,315.36
484,Type C,0.15,5000,809,606.75
485,Type E,0.2,3000,1449,869.4
486,Type A,0.1,3000,641,192.3
487,Type C,0.2,3000,1388,832.8
488,Type D,0.12,3000,1002,360.72
489,Type B,0.1,4000,671,268.4
490,Type B,0.2,3000,1270,762.0
491,Type B,0.25,5000,1319,1648.75
492,Type C,0.1,3000,866,259.8
493,Type B,0.12,5000,1253,751.8
494,Type B,0.25,1000,698,174.5
495,Type B,0.15,3000,992,446.4
496,Type E,0.2,4000,826,660.8
497,Type C,0.25,3000,1450,1087.5
498,Type A,0.15,1000,946,141.9
499,Type E,0.1,4000,1330,532.0
