Date,Origin,Destination,Transport Mode,Quantity
2021-08-29,Warehouse A,Market 2,Ship,423
2017-02-19,Warehouse B,Market 2,Air,468
2019-05-12,Warehouse B,Market 2,Truck,239
2020-05-03,Warehouse B,Market 1,Air,485
2018-07-01,Warehouse C,Market 1,Truck,90
2022-02-06,Warehouse A,Market 1,Ship,207
2019-09-22,Warehouse B,Market 2,Air,74
2022-02-06,Warehouse A,Market 3,Rail,199
2021-03-21,Warehouse A,Market 1,Air,24
2019-04-28,Warehouse A,Market 3,Ship,279
2018-01-28,Warehouse C,Market 1,Rail,234
2022-08-21,Warehouse A,Market 1,Rail,64
2018-11-18,Warehouse A,Market 2,Rail,196
2021-05-02,Warehouse C,Market 2,Rail,315
2020-02-16,Warehouse B,Market 1,Ship,331
2022-04-24,Warehouse B,Market 3,Rail,142
2020-04-26,Warehouse B,Market 3,Rail,327
2019-02-10,Warehouse B,Market 3,Ship,15
2022-11-27,Warehouse A,Market 2,Truck,262
2017-08-13,Warehouse A,Market 2,Ship,175
2020-09-06,Warehouse A,Market 2,Ship,433
2020-04-19,Warehouse A,Market 2,Truck,10
2019-09-29,Warehouse B,Market 1,Air,109
2021-01-31,Warehouse B,Market 2,Ship,349
2018-12-23,Warehouse A,Market 2,Truck,344
2021-08-15,Warehouse B,Market 3,Truck,289
2022-10-02,Warehouse C,Market 1,Ship,182
2017-08-27,Warehouse B,Market 1,Rail,444
2017-08-06,Warehouse A,Market 2,Ship,456
2017-02-26,Warehouse B,Market 3,Ship,409
2022-11-27,Warehouse B,Market 3,Truck,155
2020-11-15,Warehouse B,Market 3,Truck,54
2020-06-21,Warehouse C,Market 1,Truck,335
2018-01-21,Warehouse B,Market 2,Rail,337
2021-01-17,Warehouse A,Market 2,Ship,440
2018-05-06,Warehouse A,Market 2,Rail,350
2021-05-23,Warehouse A,Market 2,Air,81
2018-11-25,Warehouse B,Market 1,Ship,355
2021-09-12,Warehouse C,Market 2,Rail,77
2019-12-08,Warehouse A,Market 2,Ship,38
2018-07-01,Warehouse B,Market 3,Ship,18
2022-02-27,Warehouse C,Market 3,Truck,195
2022-10-16,Warehouse C,Market 1,Ship,20
2018-03-11,Warehouse A,Market 2,Air,49
2019-11-17,Warehouse C,Market 1,Ship,82
2019-11-24,Warehouse B,Market 1,Rail,206
2018-08-19,Warehouse A,Market 1,Truck,477
2017-11-12,Warehouse C,Market 3,Rail,237
2017-11-05,Warehouse A,Market 3,Rail,73
2020-03-08,Warehouse A,Market 1,Air,48
2018-09-23,Warehouse C,Market 2,Rail,492
2022-03-27,Warehouse B,Market 2,Ship,159
2021-10-31,Warehouse C,Market 1,Truck,122
2018-08-05,Warehouse B,Market 1,Ship,199
2019-03-17,Warehouse A,Market 1,Ship,423
2019-06-30,Warehouse A,Market 3,Ship,349
2017-07-16,Warehouse C,Market 3,Air,452
2020-08-30,Warehouse B,Market 2,Truck,47
2018-08-19,Warehouse B,Market 1,Ship,322
2021-12-19,Warehouse B,Market 3,Air,56
2017-12-17,Warehouse A,Market 3,Rail,440
2017-08-20,Warehouse C,Market 1,Air,103
2021-06-27,Warehouse A,Market 1,Ship,98
2021-12-26,Warehouse A,Market 1,Truck,184
2020-06-14,Warehouse A,Market 2,Rail,147
2021-01-10,Warehouse C,Market 3,Ship,98
2020-09-06,Warehouse A,Market 1,Rail,63
2018-05-06,Warehouse C,Market 3,Rail,204
2017-05-21,Warehouse A,Market 2,Air,152
2017-03-26,Warehouse C,Market 1,Ship,388
2018-01-14,Warehouse C,Market 3,Truck,400
2019-03-24,Warehouse C,Market 2,Rail,56
2017-09-10,Warehouse B,Market 2,Rail,149
2021-12-19,Warehouse C,Market 1,Ship,54
2020-06-07,Warehouse A,Market 2,Rail,490
2019-10-06,Warehouse C,Market 2,Ship,45
2019-11-03,Warehouse B,Market 3,Ship,39
2019-11-17,Warehouse B,Market 3,Rail,465
2018-08-19,Warehouse B,Market 3,Air,30
2020-04-12,Warehouse C,Market 3,Ship,304
2022-01-23,Warehouse A,Market 2,Rail,478
2021-05-02,Warehouse C,Market 1,Ship,58
2017-03-12,Warehouse A,Market 2,Air,497
2018-02-18,Warehouse B,Market 1,Ship,112
2019-08-25,Warehouse C,Market 1,Rail,230
2022-06-12,Warehouse B,Market 2,Ship,107
2022-01-30,Warehouse B,Market 3,Ship,405
2018-07-01,Warehouse A,Market 1,Rail,279
2022-04-17,Warehouse B,Market 1,Ship,254
2018-01-28,Warehouse B,Market 1,Truck,92
2021-08-01,Warehouse B,Market 1,Ship,235
2021-11-07,Warehouse A,Market 2,Ship,365
2020-12-13,Warehouse A,Market 1,Rail,364
2021-01-31,Warehouse A,Market 1,Rail,185
2017-07-30,Warehouse A,Market 1,Air,54
2018-10-14,Warehouse B,Market 2,Rail,130
2017-04-02,Warehouse B,Market 1,Ship,363
2021-06-27,Warehouse B,Market 1,Air,361
2018-04-01,Warehouse C,Market 1,Rail,429
2020-09-27,Warehouse B,Market 2,Air,36
2021-09-12,Warehouse B,Market 3,Ship,241
2018-04-15,Warehouse B,Market 1,Truck,392
2017-09-17,Warehouse C,Market 1,Air,232
2020-10-18,Warehouse C,Market 3,Air,305
2022-03-13,Warehouse A,Market 1,Ship,282
2019-08-18,Warehouse B,Market 1,Air,326
2020-02-23,Warehouse C,Market 3,Rail,363
2018-08-19,Warehouse C,Market 2,Ship,229
2021-10-17,Warehouse C,Market 2,Rail,316
2020-05-24,Warehouse B,Market 2,Air,166
2021-03-14,Warehouse B,Market 1,Air,338
2021-11-14,Warehouse B,Market 2,Ship,373
2020-04-12,Warehouse B,Market 2,Air,115
2017-03-26,Warehouse B,Market 1,Truck,39
2019-03-10,Warehouse B,Market 1,Air,184
2020-10-25,Warehouse B,Market 1,Truck,362
2018-01-28,Warehouse A,Market 2,Air,117
2018-05-06,Warehouse A,Market 1,Truck,478
2019-09-22,Warehouse C,Market 2,Rail,118
2018-04-08,Warehouse C,Market 1,Truck,291
2020-01-19,Warehouse C,Market 1,Air,27
2022-09-04,Warehouse A,Market 1,Ship,368
2017-05-07,Warehouse A,Market 3,Air,27
2017-04-30,Warehouse C,Market 1,Ship,116
2017-02-19,Warehouse A,Market 2,Rail,212
2021-05-23,Warehouse A,Market 2,Truck,423
2020-11-22,Warehouse C,Market 2,Rail,139
2018-05-13,Warehouse A,Market 3,Ship,374
2021-09-05,Warehouse B,Market 2,Truck,401
2018-11-11,Warehouse C,Market 2,Ship,175
2017-03-05,Warehouse A,Market 1,Air,410
2017-06-25,Warehouse A,Market 2,Air,71
2022-04-10,Warehouse A,Market 1,Ship,49
2021-12-19,Warehouse C,Market 2,Truck,176
2022-10-09,Warehouse C,Market 3,Rail,157
2021-08-22,Warehouse A,Market 3,Truck,418
2021-10-24,Warehouse C,Market 1,Air,394
2022-06-12,Warehouse C,Market 2,Ship,229
2019-08-04,Warehouse C,Market 2,Truck,180
2017-09-24,Warehouse C,Market 3,Truck,152
2022-02-13,Warehouse A,Market 2,Rail,103
2018-07-08,Warehouse B,Market 1,Ship,141
2021-10-03,Warehouse C,Market 1,Air,312
2021-10-10,Warehouse B,Market 1,Rail,431
2020-08-09,Warehouse B,Market 3,Ship,292
2020-04-26,Warehouse C,Market 2,Air,162
2021-10-24,Warehouse B,Market 3,Rail,289
2018-11-18,Warehouse B,Market 3,Rail,484
2022-07-17,Warehouse B,Market 2,Ship,488
2020-10-25,Warehouse A,Market 1,Truck,471
2017-12-24,Warehouse A,Market 3,Rail,158
2017-08-20,Warehouse A,Market 2,Truck,136
2021-10-03,Warehouse A,Market 3,Ship,297
2022-05-29,Warehouse B,Market 3,Air,300
2021-10-31,Warehouse C,Market 2,Rail,162
2019-06-16,Warehouse C,Market 3,Rail,406
2018-08-26,Warehouse B,Market 3,Ship,174
2020-12-20,Warehouse B,Market 1,Rail,292
2018-12-30,Warehouse A,Market 1,Ship,432
2022-07-31,Warehouse A,Market 2,Rail,185
2022-08-21,Warehouse A,Market 1,Air,435
2019-08-11,Warehouse C,Market 1,Ship,418
2019-03-31,Warehouse C,Market 1,Rail,66
2021-03-14,Warehouse C,Market 1,Truck,219
2020-01-19,Warehouse C,Market 2,Ship,12
2020-05-31,Warehouse B,Market 3,Rail,385
2019-06-30,Warehouse B,Market 2,Air,377
2019-03-31,Warehouse A,Market 2,Truck,337
2022-04-10,Warehouse B,Market 1,Air,98
2020-11-22,Warehouse B,Market 2,Rail,285
2020-09-20,Warehouse A,Market 3,Ship,353
2018-12-09,Warehouse A,Market 3,Truck,18
2020-08-09,Warehouse C,Market 2,Air,109
2021-12-19,Warehouse A,Market 1,Truck,353
2018-07-01,Warehouse A,Market 3,Truck,359
2017-05-14,Warehouse A,Market 3,Ship,283
2022-02-13,Warehouse C,Market 1,Rail,478
2020-11-29,Warehouse B,Market 3,Air,362
2018-05-06,Warehouse C,Market 2,Ship,193
2017-07-23,Warehouse A,Market 3,Ship,261
2018-11-11,Warehouse C,Market 2,Rail,341
2021-12-19,Warehouse B,Market 2,Air,312
2020-10-11,Warehouse A,Market 2,Truck,132
2021-11-28,Warehouse B,Market 2,Air,160
2018-10-14,Warehouse B,Market 3,Ship,479
2022-12-18,Warehouse A,Market 1,Ship,333
2019-03-17,Warehouse A,Market 1,Truck,415
2020-03-08,Warehouse C,Market 1,Air,357
2022-05-15,Warehouse B,Market 2,Air,315
2021-11-07,Warehouse B,Market 3,Rail,219
2017-05-07,Warehouse A,Market 3,Air,334
2017-04-23,Warehouse C,Market 3,Rail,499
2017-06-25,Warehouse A,Market 1,Air,291
2017-05-28,Warehouse B,Market 3,Rail,13
2021-04-11,Warehouse A,Market 2,Air,306
2020-05-10,Warehouse B,Market 2,Air,200
2022-07-24,Warehouse A,Market 3,Ship,129
2018-02-25,Warehouse A,Market 3,Rail,203
2021-04-11,Warehouse C,Market 3,Ship,288
2017-12-10,Warehouse B,Market 3,Ship,31
2017-10-01,Warehouse A,Market 2,Truck,177
2017-12-10,Warehouse A,Market 1,Truck,306
2017-11-26,Warehouse A,Market 1,Air,216
2021-05-16,Warehouse C,Market 1,Rail,387
2020-12-13,Warehouse A,Market 2,Rail,74
2018-10-28,Warehouse C,Market 3,Ship,325
2020-10-04,Warehouse C,Market 2,Rail,475
2018-12-09,Warehouse C,Market 3,Ship,450
2019-05-19,Warehouse A,Market 1,Ship,391
2020-12-13,Warehouse B,Market 2,Ship,44
2021-08-01,Warehouse A,Market 3,Ship,341
2017-10-15,Warehouse C,Market 2,Rail,329
2020-04-19,Warehouse C,Market 3,Truck,34
2022-03-06,Warehouse A,Market 3,Air,292
2017-11-05,Warehouse C,Market 3,Air,480
2018-04-29,Warehouse C,Market 1,Air,260
2019-12-29,Warehouse B,Market 2,Ship,233
2020-11-22,Warehouse C,Market 3,Truck,452
2020-10-04,Warehouse B,Market 1,Ship,305
2022-08-07,Warehouse B,Market 3,Rail,88
2018-02-11,Warehouse C,Market 3,Truck,354
2017-03-12,Warehouse C,Market 3,Rail,19
2022-11-06,Warehouse C,Market 2,Air,207
2021-05-30,Warehouse A,Market 3,Ship,275
2021-04-11,Warehouse C,Market 1,Rail,410
2019-06-02,Warehouse B,Market 3,Rail,301
2022-07-24,Warehouse A,Market 1,Truck,496
2022-11-06,Warehouse C,Market 1,Rail,111
2022-06-05,Warehouse A,Market 3,Rail,231
2021-05-23,Warehouse C,Market 2,Rail,328
2018-09-16,Warehouse A,Market 3,Rail,331
2017-02-12,Warehouse B,Market 3,Ship,371
2021-08-01,Warehouse C,Market 2,Rail,291
2019-03-17,Warehouse C,Market 2,Rail,126
2017-10-01,Warehouse C,Market 1,Ship,113
2018-07-29,Warehouse C,Market 2,Ship,369
2022-02-06,Warehouse A,Market 3,Truck,90
2021-09-12,Warehouse C,Market 2,Ship,59
2017-09-17,Warehouse C,Market 1,Rail,46
2020-11-15,Warehouse B,Market 2,Air,258
2021-04-04,Warehouse B,Market 3,Truck,396
2022-08-21,Warehouse B,Market 2,Air,360
2018-06-17,Warehouse B,Market 1,Rail,404
2021-03-21,Warehouse B,Market 3,Truck,350
2019-12-15,Warehouse A,Market 1,Air,313
2022-04-10,Warehouse B,Market 1,Truck,11
2018-03-18,Warehouse C,Market 1,Air,348
2021-05-02,Warehouse C,Market 2,Rail,205
2021-06-06,Warehouse B,Market 3,Truck,212
2020-08-02,Warehouse B,Market 1,Truck,420
2022-10-09,Warehouse C,Market 2,Truck,284
2020-07-26,Warehouse A,Market 3,Truck,468
2019-06-16,Warehouse A,Market 3,Ship,325
2019-07-21,Warehouse A,Market 3,Ship,148
2017-12-10,Warehouse A,Market 1,Air,474
2018-03-11,Warehouse C,Market 1,Ship,448
2022-07-31,Warehouse C,Market 1,Ship,491
2018-08-26,Warehouse C,Market 2,Air,397
2020-05-17,Warehouse C,Market 1,Truck,147
2018-08-05,Warehouse C,Market 2,Rail,435
2020-12-06,Warehouse A,Market 3,Ship,237
2019-01-06,Warehouse A,Market 2,Air,263
2019-05-05,Warehouse C,Market 2,Rail,193
2020-07-12,Warehouse A,Market 3,Truck,220
2021-06-20,Warehouse B,Market 1,Truck,222
2020-03-08,Warehouse C,Market 2,Rail,104
2022-10-30,Warehouse B,Market 2,Ship,46
2017-04-23,Warehouse B,Market 3,Air,247
2018-06-24,Warehouse B,Market 3,Air,380
2022-02-06,Warehouse A,Market 1,Ship,218
2019-07-28,Warehouse C,Market 3,Truck,213
2017-07-02,Warehouse A,Market 3,Air,355
2020-11-15,Warehouse B,Market 2,Air,433
2017-03-05,Warehouse A,Market 3,Truck,56
2021-05-23,Warehouse B,Market 1,Truck,15
2021-12-19,Warehouse A,Market 2,Truck,406
2018-02-25,Warehouse C,Market 2,Rail,149
2017-11-26,Warehouse C,Market 3,Air,400
2020-03-01,Warehouse B,Market 3,Rail,77
2017-12-24,Warehouse B,Market 3,Air,36
2019-03-03,Warehouse C,Market 3,Rail,79
2017-07-09,Warehouse B,Market 1,Ship,430
2018-10-14,Warehouse A,Market 2,Ship,495
2020-03-29,Warehouse A,Market 2,Air,475
2019-10-27,Warehouse A,Market 1,Ship,405
2018-01-14,Warehouse A,Market 3,Air,179
2021-11-21,Warehouse B,Market 1,Air,247
2021-09-12,Warehouse C,Market 1,Rail,230
2021-06-13,Warehouse B,Market 3,Ship,392
2019-11-03,Warehouse C,Market 3,Air,61
2022-11-20,Warehouse A,Market 2,Truck,11
2021-03-14,Warehouse C,Market 3,Rail,417
2017-01-15,Warehouse B,Market 1,Air,397
2021-07-18,Warehouse A,Market 3,Rail,265
2019-05-05,Warehouse A,Market 2,Ship,344
2018-07-15,Warehouse C,Market 1,Air,210
2019-08-04,Warehouse C,Market 2,Air,333
2017-02-26,Warehouse C,Market 1,Air,90
2022-10-23,Warehouse B,Market 1,Ship,244
2022-11-27,Warehouse C,Market 1,Rail,41
2021-02-28,Warehouse C,Market 3,Rail,190
2019-06-09,Warehouse B,Market 2,Rail,342
2019-10-06,Warehouse B,Market 2,Truck,83
2022-06-12,Warehouse B,Market 2,Truck,163
2019-05-05,Warehouse B,Market 3,Truck,418
2017-04-02,Warehouse A,Market 2,Rail,459
2020-02-23,Warehouse B,Market 1,Ship,467
2019-07-07,Warehouse C,Market 3,Air,124
2020-03-08,Warehouse B,Market 3,Truck,327
2018-02-11,Warehouse B,Market 2,Rail,259
2021-04-04,Warehouse C,Market 1,Air,453
2017-11-26,Warehouse C,Market 2,Truck,222
2020-06-07,Warehouse B,Market 2,Ship,232
2020-01-05,Warehouse C,Market 3,Rail,233
2017-11-12,Warehouse A,Market 1,Rail,429
2022-03-20,Warehouse C,Market 1,Truck,236
2020-07-26,Warehouse A,Market 3,Truck,347
2021-11-21,Warehouse B,Market 3,Rail,71
2018-02-04,Warehouse C,Market 2,Truck,89
2017-06-04,Warehouse C,Market 1,Ship,452
2017-09-24,Warehouse B,Market 1,Rail,427
2021-07-25,Warehouse B,Market 1,Truck,19
2022-11-06,Warehouse B,Market 1,Ship,216
2022-01-02,Warehouse C,Market 1,Ship,390
2022-11-20,Warehouse C,Market 2,Air,457
2017-11-19,Warehouse C,Market 2,Truck,20
2022-09-11,Warehouse C,Market 2,Rail,202
2018-08-05,Warehouse B,Market 3,Rail,381
2017-07-09,Warehouse A,Market 3,Ship,106
2019-05-19,Warehouse B,Market 1,Air,429
2017-09-03,Warehouse A,Market 1,Ship,238
2021-04-11,Warehouse A,Market 2,Truck,255
2021-05-23,Warehouse B,Market 3,Air,67
2021-06-06,Warehouse A,Market 2,Rail,278
2020-10-04,Warehouse C,Market 1,Air,23
2020-10-25,Warehouse B,Market 2,Ship,175
2021-04-25,Warehouse B,Market 1,Rail,18
2017-01-22,Warehouse B,Market 3,Rail,258
2018-08-05,Warehouse C,Market 2,Ship,499
2019-12-08,Warehouse C,Market 1,Ship,136
2019-02-24,Warehouse A,Market 3,Rail,194
2018-09-09,Warehouse B,Market 3,Truck,259
2022-12-25,Warehouse C,Market 3,Air,246
2019-07-07,Warehouse B,Market 1,Truck,497
2019-01-06,Warehouse C,Market 1,Ship,94
2017-03-19,Warehouse A,Market 3,Truck,149
2019-07-21,Warehouse C,Market 1,Truck,172
2017-06-11,Warehouse A,Market 1,Truck,184
2021-09-26,Warehouse C,Market 2,Rail,232
2018-11-18,Warehouse B,Market 2,Ship,248
2018-05-27,Warehouse C,Market 1,Air,35
2019-11-17,Warehouse B,Market 3,Ship,112
2022-07-31,Warehouse C,Market 2,Truck,125
2020-08-16,Warehouse A,Market 2,Rail,261
2017-05-21,Warehouse C,Market 1,Rail,242
2017-10-29,Warehouse B,Market 1,Truck,488
2020-01-19,Warehouse A,Market 3,Air,330
2022-01-09,Warehouse A,Market 2,Rail,468
2021-02-28,Warehouse A,Market 3,Ship,216
2018-01-21,Warehouse A,Market 2,Ship,256
2021-11-07,Warehouse C,Market 1,Ship,105
2017-06-25,Warehouse B,Market 2,Rail,363
2020-11-15,Warehouse C,Market 3,Ship,496
2019-09-08,Warehouse B,Market 2,Ship,499
2022-10-30,Warehouse B,Market 2,Rail,165
2018-03-18,Warehouse A,Market 2,Rail,123
2020-03-08,Warehouse B,Market 1,Air,186
2017-12-17,Warehouse A,Market 1,Rail,29
2021-03-28,Warehouse B,Market 3,Truck,128
2020-04-26,Warehouse C,Market 1,Ship,225
2018-11-04,Warehouse C,Market 2,Ship,469
2017-02-12,Warehouse C,Market 1,Truck,325
2019-10-27,Warehouse B,Market 2,Truck,191
2018-01-07,Warehouse A,Market 1,Truck,308
2020-05-03,Warehouse A,Market 3,Rail,224
2018-05-06,Warehouse A,Market 2,Truck,184
2018-07-08,Warehouse B,Market 3,Truck,39
2019-04-21,Warehouse A,Market 2,Air,316
2021-11-28,Warehouse A,Market 3,Air,487
2017-09-24,Warehouse B,Market 2,Rail,138
2017-07-09,Warehouse C,Market 2,Rail,423
2020-12-20,Warehouse B,Market 3,Truck,106
2022-01-30,Warehouse B,Market 1,Rail,295
2017-04-09,Warehouse B,Market 1,Ship,61
2018-02-04,Warehouse B,Market 3,Air,22
2018-08-12,Warehouse B,Market 2,Truck,106
2019-01-13,Warehouse A,Market 2,Truck,315
2017-08-27,Warehouse A,Market 2,Rail,20
2018-10-21,Warehouse B,Market 2,Rail,193
2022-04-03,Warehouse B,Market 1,Rail,30
2018-06-24,Warehouse A,Market 1,Ship,435
2019-01-13,Warehouse A,Market 2,Rail,219
2022-09-18,Warehouse A,Market 3,Ship,270
2020-10-25,Warehouse B,Market 2,Air,261
2017-01-29,Warehouse C,Market 3,Rail,425
2018-07-01,Warehouse C,Market 1,Ship,415
2019-04-21,Warehouse B,Market 3,Air,113
2021-07-18,Warehouse C,Market 2,Ship,332
2021-03-14,Warehouse B,Market 3,Air,10
2019-03-24,Warehouse C,Market 1,Truck,86
2021-10-24,Warehouse B,Market 2,Air,33
2017-10-29,Warehouse A,Market 3,Truck,362
2022-02-06,Warehouse B,Market 2,Air,308
2022-12-11,Warehouse B,Market 2,Ship,130
2019-11-17,Warehouse B,Market 3,Ship,238
2017-04-02,Warehouse A,Market 2,Ship,276
2021-05-16,Warehouse B,Market 2,Truck,94
2021-04-25,Warehouse B,Market 3,Ship,81
2021-04-04,Warehouse B,Market 2,Rail,134
2019-12-29,Warehouse C,Market 3,Rail,466
2022-04-03,Warehouse B,Market 3,Truck,210
2019-05-19,Warehouse A,Market 3,Ship,191
2020-02-23,Warehouse A,Market 1,Air,363
2018-03-04,Warehouse C,Market 3,Rail,354
2022-04-03,Warehouse A,Market 3,Air,416
2021-10-31,Warehouse A,Market 2,Truck,214
2021-10-24,Warehouse A,Market 1,Air,184
2022-05-01,Warehouse B,Market 3,Air,209
2021-07-11,Warehouse A,Market 3,Truck,216
2022-08-21,Warehouse B,Market 2,Ship,386
2022-02-06,Warehouse A,Market 1,Rail,268
2020-12-06,Warehouse B,Market 3,Ship,455
2021-09-19,Warehouse C,Market 1,Rail,269
2022-05-01,Warehouse B,Market 2,Ship,29
2020-04-05,Warehouse A,Market 2,Rail,493
2019-06-30,Warehouse C,Market 3,Rail,44
2019-08-18,Warehouse A,Market 2,Rail,168
2022-08-21,Warehouse A,Market 3,Air,484
2022-07-10,Warehouse A,Market 3,Ship,78
2018-12-30,Warehouse B,Market 1,Ship,91
2019-03-17,Warehouse B,Market 1,Truck,170
2022-01-02,Warehouse C,Market 2,Ship,441
2020-11-22,Warehouse A,Market 1,Ship,421
2017-11-19,Warehouse A,Market 1,Rail,81
2018-02-04,Warehouse B,Market 2,Truck,126
2018-05-13,Warehouse C,Market 2,Ship,276
2019-01-06,Warehouse C,Market 1,Truck,387
2022-04-24,Warehouse C,Market 2,Truck,205
2020-02-02,Warehouse C,Market 3,Truck,96
2020-10-11,Warehouse B,Market 3,Truck,71
2022-08-28,Warehouse B,Market 1,Ship,172
2020-03-29,Warehouse C,Market 1,Air,21
2018-07-22,Warehouse A,Market 3,Rail,35
2017-04-16,Warehouse C,Market 2,Ship,207
2018-02-04,Warehouse B,Market 1,Truck,13
2017-06-11,Warehouse A,Market 1,Ship,329
2022-10-30,Warehouse C,Market 2,Air,128
2019-10-06,Warehouse C,Market 3,Air,459
2019-10-06,Warehouse B,Market 3,Air,178
2018-03-25,Warehouse C,Market 2,Air,348
2018-09-30,Warehouse A,Market 3,Air,221
2022-01-16,Warehouse B,Market 2,Truck,171
2017-11-05,Warehouse C,Market 1,Air,200
2018-05-20,Warehouse C,Market 1,Air,493
2018-08-19,Warehouse C,Market 1,Ship,485
2022-03-13,Warehouse C,Market 3,Ship,113
2019-02-03,Warehouse B,Market 2,Truck,42
2020-01-12,Warehouse B,Market 3,Truck,475
2017-01-01,Warehouse A,Market 2,Ship,18
2021-01-03,Warehouse A,Market 3,Ship,224
2018-10-28,Warehouse B,Market 3,Rail,136
2018-05-06,Warehouse C,Market 1,Air,177
