,Manufacturer,Model,Memory_Size_GB,Core_Clock_MHz,Boost_Clock_MHz,Memory_Type,TDP_Watts,Price_USD
73,AMD,Pro1000-14,12,1000,2000,GDDR5,244,521
74,AMD,Pro1000-15,4,2500,1500,GDDR5,137,240
75,NVIDIA,Pro1000-16,16,2500,2000,GDDR6,162,934
76,AMD,Pro1000-17,12,1500,2500,GDDR5,220,1413
77,Intel,Pro1000-18,12,1500,2500,GDDR6,226,935
78,NVIDIA,Pro1000-19,16,2500,1500,GDDR6X,57,1058
79,NVIDIA,Pro1000-20,16,1000,1500,GDDR6,205,975
80,Intel,Elite4K-1,4,1000,2000,GDDR6X,65,494
81,AMD,Elite4K-2,24,1000,3000,GDDR6X,96,620
82,AMD,Elite4K-3,16,2000,1500,GDDR5,287,745
83,AMD,Elite4K-4,12,2000,3000,GDDR5,283,558
84,NVIDIA,Elite4K-5,24,1000,1500,GDDR5,147,585
85,NVIDIA,Elite4K-6,12,2500,2000,GDDR5,64,866
86,Intel,Elite4K-7,16,1000,3000,GDDR5,219,220
87,NVIDIA,Elite4K-8,4,2500,3000,GDDR6,178,414
88,AMD,Elite4K-9,16,2500,3000,GDDR6X,244,651
89,Intel,Elite4K-10,16,2000,1500,GDDR5,238,1045
90,AMD,Elite4K-11,12,1000,1500,GDDR6X,196,491
91,NVIDIA,Elite4K-12,8,2500,3000,GDDR6,120,829
92,NVIDIA,Elite4K-13,4,1000,3000,GDDR6X,107,601
93,Intel,Elite4K-14,8,2000,3000,GDDR6,133,516
94,AMD,Elite4K-15,4,2500,1500,GDDR6X,96,228
95,Intel,Elite4K-16,8,2500,3000,GDDR6X,59,872
96,Intel,Elite4K-17,8,1000,2500,GDDR6,57,417
97,Intel,Elite4K-18,8,2000,1500,GDDR6,105,989
98,AMD,Elite4K-19,8,1500,2000,GDDR6,257,1477
99,Intel,Elite4K-20,16,2500,2000,GDDR5,55,344
