Date,Origin,Destination,Transport Mode,Quantity
2022-07-31,Farm A,Silo 2,Truck,385
2020-11-29,Farm C,Silo 3,Truck,260
2018-02-04,Farm B,Silo 2,Rail,448
2020-08-02,Farm B,Silo 2,Rail,454
2021-06-06,Farm A,Silo 3,Truck,361
2021-12-26,Farm A,Silo 3,Truck,345
2019-05-05,Farm C,Silo 1,Truck,398
2019-03-31,Farm B,Silo 1,Truck,74
2021-04-18,Farm B,Silo 2,Rail,428
2022-08-21,Farm A,Silo 1,Rail,213
2021-08-22,Farm B,Silo 3,Rail,365
2017-09-10,Farm B,Silo 1,Rail,283
2019-12-01,Farm A,Silo 3,Truck,192
2019-07-14,Farm A,Silo 2,Rail,216
2017-03-05,Farm C,Silo 3,Rail,403
2022-12-18,Farm A,Silo 3,Truck,271
2021-08-22,Farm B,Silo 1,Rail,252
2017-12-17,Farm C,Silo 2,Rail,184
2019-10-27,Farm A,Silo 3,Truck,228
2018-01-21,Farm B,Silo 1,Truck,202
2018-07-01,Farm A,Silo 3,Truck,152
2019-05-19,Farm C,Silo 3,Rail,205
2021-01-03,Farm C,Silo 1,Truck,306
2021-05-23,Farm A,Silo 1,Rail,188
2017-02-12,Farm C,Silo 1,Truck,451
2021-11-07,Farm C,Silo 1,Rail,295
2018-07-22,Farm B,Silo 1,Truck,174
2018-06-24,Farm B,Silo 3,Truck,496
2018-02-04,Farm A,Silo 1,Truck,136
2018-12-23,Farm A,Silo 1,Rail,432
2021-01-31,Farm B,Silo 3,Rail,367
2019-07-07,Farm C,Silo 3,Rail,280
2018-07-22,Farm B,Silo 1,Rail,353
2019-08-18,Farm A,Silo 3,Rail,109
2021-08-01,Farm B,Silo 3,Truck,322
2018-04-15,Farm B,Silo 2,Rail,490
2018-04-08,Farm A,Silo 1,Truck,255
2020-10-04,Farm C,Silo 1,Rail,277
2021-05-30,Farm A,Silo 1,Rail,165
2021-03-21,Farm B,Silo 3,Truck,192
2017-08-13,Farm C,Silo 1,Truck,392
2018-10-07,Farm B,Silo 1,Rail,201
2017-05-21,Farm A,Silo 2,Rail,319
2019-02-17,Farm B,Silo 3,Truck,356
2022-02-13,Farm C,Silo 2,Rail,230
2018-11-11,Farm B,Silo 3,Rail,58
2017-06-11,Farm A,Silo 3,Truck,116
2021-03-28,Farm A,Silo 3,Rail,152
2021-07-11,Farm A,Silo 1,Truck,241
2020-09-20,Farm A,Silo 2,Truck,458
2017-09-03,Farm B,Silo 2,Rail,269
2018-07-22,Farm B,Silo 2,Rail,174
2017-11-05,Farm B,Silo 2,Rail,63
2020-07-05,Farm B,Silo 3,Rail,491
2017-02-05,Farm C,Silo 1,Rail,422
2017-09-03,Farm A,Silo 2,Truck,423
2022-10-02,Farm C,Silo 2,Rail,253
2021-12-12,Farm B,Silo 2,Rail,251
2018-02-25,Farm B,Silo 2,Truck,408
2017-01-22,Farm C,Silo 3,Truck,242
2017-09-10,Farm A,Silo 1,Truck,243
2018-10-14,Farm A,Silo 2,Rail,158
2021-04-11,Farm C,Silo 1,Rail,246
2022-01-09,Farm A,Silo 3,Rail,235
2017-04-30,Farm B,Silo 3,Rail,78
2017-07-23,Farm B,Silo 3,Rail,186
2017-01-29,Farm C,Silo 1,Truck,167
2021-09-19,Farm A,Silo 1,Truck,168
2020-02-09,Farm C,Silo 1,Rail,336
2020-03-22,Farm A,Silo 1,Rail,491
2022-06-12,Farm B,Silo 2,Rail,331
2020-12-27,Farm C,Silo 3,Truck,235
2017-05-14,Farm C,Silo 2,Rail,273
2017-08-06,Farm C,Silo 3,Truck,434
2021-01-10,Farm A,Silo 1,Truck,114
2020-11-08,Farm B,Silo 1,Truck,72
2022-12-04,Farm A,Silo 1,Truck,239
2020-03-01,Farm C,Silo 2,Truck,50
2017-10-22,Farm A,Silo 3,Truck,378
2022-09-18,Farm C,Silo 1,Rail,145
2018-05-20,Farm C,Silo 1,Rail,152
2019-04-07,Farm C,Silo 1,Rail,221
2020-09-13,Farm A,Silo 1,Truck,455
2019-11-10,Farm C,Silo 1,Truck,74
2018-06-03,Farm B,Silo 1,Truck,220
2018-10-28,Farm A,Silo 2,Truck,442
2020-03-08,Farm C,Silo 3,Rail,100
2019-01-13,Farm A,Silo 1,Truck,248
2017-03-12,Farm A,Silo 2,Rail,438
2018-07-15,Farm C,Silo 1,Rail,330
2020-03-01,Farm B,Silo 3,Truck,396
2022-04-03,Farm C,Silo 1,Truck,86
2020-05-17,Farm C,Silo 3,Rail,237
2019-12-15,Farm B,Silo 2,Truck,350
2020-08-09,Farm A,Silo 2,Truck,417
2022-01-16,Farm B,Silo 2,Rail,81
2021-05-23,Farm C,Silo 2,Truck,110
2019-01-06,Farm C,Silo 3,Truck,468
2021-11-21,Farm A,Silo 3,Truck,183
2019-09-08,Farm B,Silo 3,Truck,97
2020-09-20,Farm C,Silo 1,Truck,204
2021-09-05,Farm A,Silo 1,Truck,190
2017-03-26,Farm C,Silo 3,Truck,169
2017-12-03,Farm C,Silo 2,Rail,186
2017-01-01,Farm B,Silo 1,Rail,146
2019-01-27,Farm A,Silo 2,Rail,73
2017-07-02,Farm A,Silo 3,Truck,116
2021-09-19,Farm C,Silo 3,Rail,491
2019-09-08,Farm B,Silo 3,Rail,469
2022-11-27,Farm C,Silo 2,Rail,150
2020-12-13,Farm A,Silo 1,Truck,337
2021-09-05,Farm B,Silo 2,Rail,473
2021-10-24,Farm B,Silo 3,Truck,442
2019-11-03,Farm C,Silo 2,Rail,420
2019-04-21,Farm B,Silo 3,Truck,266
2019-08-25,Farm C,Silo 1,Rail,189
2017-02-19,Farm A,Silo 1,Truck,498
2021-01-03,Farm C,Silo 2,Rail,281
2022-04-17,Farm C,Silo 3,Rail,191
2020-02-09,Farm B,Silo 2,Rail,176
2022-06-12,Farm B,Silo 3,Rail,96
2020-05-31,Farm A,Silo 3,Truck,205
2017-09-17,Farm A,Silo 1,Truck,178
2021-12-12,Farm A,Silo 3,Truck,370
2021-08-29,Farm A,Silo 3,Rail,427
2019-08-25,Farm A,Silo 2,Truck,185
2022-07-10,Farm B,Silo 1,Rail,481
2017-05-21,Farm C,Silo 2,Truck,77
2018-08-05,Farm C,Silo 2,Truck,481
2022-07-03,Farm A,Silo 3,Truck,87
2020-12-27,Farm B,Silo 3,Truck,317
2019-05-12,Farm B,Silo 1,Truck,244
2021-10-24,Farm A,Silo 3,Truck,102
2022-07-03,Farm B,Silo 1,Rail,109
2022-01-23,Farm A,Silo 2,Rail,353
2017-03-19,Farm B,Silo 1,Rail,120
2018-04-01,Farm C,Silo 2,Truck,114
2019-08-11,Farm B,Silo 2,Truck,52
2022-05-22,Farm A,Silo 1,Rail,91
2020-05-31,Farm C,Silo 1,Rail,230
2020-10-18,Farm B,Silo 3,Rail,133
2022-06-26,Farm A,Silo 3,Truck,342
2022-08-21,Farm A,Silo 2,Truck,240
2019-10-27,Farm A,Silo 2,Truck,238
2019-08-18,Farm C,Silo 2,Truck,491
2022-10-09,Farm B,Silo 1,Truck,353
2021-11-14,Farm B,Silo 1,Truck,487
2019-03-31,Farm A,Silo 3,Truck,415
2020-04-05,Farm B,Silo 1,Truck,247
2022-08-21,Farm C,Silo 2,Truck,454
2018-04-29,Farm B,Silo 3,Truck,434
2017-11-26,Farm B,Silo 2,Truck,145
2019-12-15,Farm B,Silo 3,Rail,190
2021-10-03,Farm B,Silo 3,Rail,359
2018-09-30,Farm C,Silo 2,Truck,155
2017-08-27,Farm C,Silo 3,Rail,310
2022-06-19,Farm B,Silo 2,Truck,141
2021-09-26,Farm C,Silo 3,Rail,130
2019-12-22,Farm A,Silo 2,Rail,394
2021-06-06,Farm C,Silo 2,Rail,343
2017-09-17,Farm A,Silo 1,Truck,469
2021-04-25,Farm C,Silo 1,Rail,50
2018-04-08,Farm B,Silo 1,Truck,123
2019-10-06,Farm C,Silo 1,Truck,473
2019-04-14,Farm A,Silo 3,Truck,489
2019-07-21,Farm C,Silo 2,Truck,132
2022-01-09,Farm A,Silo 1,Truck,390
2017-07-09,Farm C,Silo 3,Truck,484
2018-12-23,Farm C,Silo 3,Rail,451
2017-05-28,Farm B,Silo 2,Truck,115
2019-05-12,Farm B,Silo 2,Truck,331
2018-11-11,Farm C,Silo 3,Rail,229
2021-11-14,Farm C,Silo 1,Rail,263
2020-02-23,Farm B,Silo 1,Rail,114
2018-04-22,Farm A,Silo 2,Truck,417
2018-10-07,Farm A,Silo 2,Truck,355
2021-01-03,Farm A,Silo 3,Truck,344
2021-04-11,Farm B,Silo 3,Truck,389
2017-11-12,Farm A,Silo 2,Rail,229
2019-10-13,Farm C,Silo 1,Rail,222
2021-09-12,Farm B,Silo 1,Truck,59
2019-02-17,Farm A,Silo 3,Rail,186
2017-04-30,Farm B,Silo 3,Rail,320
2019-08-18,Farm C,Silo 3,Truck,441
2019-07-28,Farm A,Silo 1,Rail,192
2020-09-20,Farm B,Silo 3,Truck,129
2018-01-07,Farm A,Silo 3,Rail,54
2018-04-22,Farm A,Silo 1,Truck,403
2022-07-24,Farm B,Silo 3,Rail,370
2017-10-15,Farm B,Silo 1,Rail,182
2022-07-31,Farm C,Silo 3,Truck,441
2021-02-14,Farm B,Silo 3,Rail,311
2020-01-19,Farm C,Silo 2,Truck,122
2021-03-14,Farm B,Silo 3,Truck,309
2021-04-25,Farm A,Silo 3,Rail,148
2022-01-30,Farm A,Silo 2,Rail,385
2022-01-30,Farm B,Silo 1,Rail,478
2017-11-12,Farm A,Silo 3,Truck,421
2019-04-21,Farm A,Silo 2,Rail,222
2021-07-25,Farm B,Silo 2,Truck,422
2017-04-23,Farm C,Silo 2,Rail,282
2017-09-03,Farm A,Silo 1,Truck,384
2017-11-05,Farm C,Silo 3,Rail,206
2020-06-14,Farm A,Silo 3,Rail,267
2017-01-01,Farm A,Silo 3,Rail,271
2017-01-15,Farm C,Silo 3,Rail,298
2022-10-02,Farm A,Silo 1,Truck,487
2022-09-18,Farm C,Silo 3,Rail,317
2018-06-03,Farm A,Silo 1,Rail,271
2019-12-15,Farm A,Silo 3,Truck,354
2022-04-24,Farm C,Silo 3,Truck,97
2017-05-07,Farm B,Silo 1,Rail,89
2020-01-26,Farm B,Silo 2,Truck,297
2018-09-02,Farm C,Silo 1,Truck,98
2019-04-07,Farm A,Silo 1,Rail,415
2018-11-18,Farm C,Silo 1,Rail,399
2020-11-29,Farm A,Silo 1,Truck,253
2020-05-24,Farm B,Silo 1,Truck,342
2020-05-10,Farm C,Silo 3,Rail,350
2020-07-12,Farm B,Silo 1,Rail,318
2020-02-09,Farm C,Silo 3,Truck,203
2022-03-13,Farm B,Silo 3,Rail,249
2019-05-26,Farm A,Silo 2,Rail,177
2022-02-20,Farm B,Silo 2,Rail,382
2022-04-10,Farm B,Silo 3,Truck,116
2021-05-09,Farm B,Silo 3,Truck,349
2019-09-29,Farm A,Silo 2,Truck,301
2019-12-01,Farm C,Silo 1,Truck,318
2022-02-13,Farm C,Silo 1,Rail,482
2021-04-18,Farm C,Silo 1,Rail,94
2018-12-30,Farm A,Silo 3,Truck,154
2017-12-31,Farm C,Silo 1,Rail,131
2022-01-02,Farm C,Silo 3,Truck,65
2021-04-18,Farm A,Silo 2,Truck,268
2017-04-23,Farm B,Silo 2,Truck,422
2017-11-12,Farm B,Silo 2,Truck,150
2019-04-28,Farm A,Silo 1,Rail,480
2017-08-27,Farm C,Silo 3,Rail,146
2019-03-03,Farm C,Silo 2,Truck,313
2019-03-31,Farm B,Silo 3,Truck,185
2021-04-18,Farm C,Silo 3,Truck,144
2019-11-17,Farm B,Silo 2,Truck,496
2022-11-06,Farm B,Silo 3,Truck,126
2021-06-20,Farm B,Silo 1,Rail,494
2018-08-19,Farm C,Silo 1,Rail,468
2017-04-23,Farm C,Silo 1,Truck,380
2021-08-29,Farm A,Silo 3,Truck,243
2017-06-11,Farm C,Silo 1,Rail,438
2022-05-01,Farm A,Silo 2,Truck,318
2021-07-25,Farm B,Silo 3,Rail,204
2022-03-13,Farm A,Silo 3,Truck,482
2020-09-27,Farm A,Silo 2,Truck,210
2018-08-12,Farm C,Silo 3,Rail,334
2021-11-28,Farm C,Silo 3,Rail,213
2021-09-19,Farm A,Silo 2,Truck,252
2017-09-24,Farm C,Silo 2,Rail,122
2018-01-28,Farm C,Silo 2,Rail,207
2018-11-04,Farm A,Silo 1,Truck,136
2021-05-23,Farm A,Silo 3,Rail,69
2021-09-26,Farm A,Silo 2,Truck,169
2019-05-12,Farm C,Silo 1,Truck,459
2017-04-09,Farm B,Silo 1,Truck,423
2017-01-22,Farm A,Silo 2,Truck,93
2018-04-08,Farm C,Silo 1,Truck,133
2020-02-16,Farm C,Silo 3,Rail,279
2018-01-28,Farm C,Silo 2,Rail,139
2018-12-16,Farm B,Silo 3,Rail,125
2022-11-20,Farm C,Silo 2,Truck,477
2018-02-04,Farm B,Silo 2,Truck,386
2022-03-06,Farm B,Silo 3,Rail,104
2021-01-10,Farm B,Silo 1,Rail,454
2022-08-14,Farm C,Silo 2,Truck,406
2017-06-25,Farm C,Silo 2,Truck,333
2017-09-10,Farm A,Silo 1,Truck,491
2018-03-04,Farm C,Silo 2,Rail,262
2019-10-13,Farm A,Silo 1,Truck,238
2017-08-20,Farm B,Silo 3,Rail,367
2017-03-05,Farm B,Silo 3,Rail,363
2017-09-03,Farm A,Silo 2,Truck,348
2022-04-10,Farm A,Silo 3,Truck,469
2018-11-04,Farm C,Silo 1,Truck,448
2021-01-03,Farm B,Silo 3,Truck,219
2021-04-04,Farm C,Silo 1,Rail,372
2019-12-29,Farm B,Silo 1,Truck,270
2017-05-21,Farm B,Silo 3,Truck,232
2020-09-20,Farm C,Silo 3,Truck,364
2021-11-07,Farm A,Silo 2,Truck,368
2019-10-06,Farm A,Silo 1,Rail,197
2020-10-04,Farm A,Silo 3,Truck,220
2021-09-26,Farm A,Silo 1,Rail,420
2020-07-05,Farm C,Silo 3,Truck,448
2019-02-10,Farm C,Silo 1,Truck,330
2017-12-03,Farm B,Silo 1,Truck,309
2019-08-18,Farm C,Silo 3,Rail,382
2017-07-30,Farm C,Silo 1,Truck,488
2017-05-28,Farm B,Silo 2,Rail,475
2018-01-07,Farm A,Silo 3,Truck,189
2021-10-10,Farm C,Silo 1,Truck,469
2018-12-02,Farm A,Silo 1,Rail,414
2021-10-31,Farm C,Silo 1,Truck,338
2018-10-28,Farm C,Silo 2,Rail,431
2020-02-23,Farm C,Silo 1,Rail,261
2018-04-29,Farm C,Silo 1,Rail,245
2020-11-15,Farm C,Silo 1,Rail,292
2019-07-07,Farm B,Silo 3,Rail,494
2020-02-23,Farm B,Silo 1,Truck,306
2020-08-02,Farm C,Silo 2,Rail,348
2019-02-24,Farm B,Silo 1,Rail,306
2018-01-21,Farm B,Silo 1,Rail,208
2021-07-11,Farm C,Silo 3,Rail,393
2022-11-06,Farm A,Silo 2,Rail,205
2022-02-20,Farm A,Silo 3,Truck,249
2019-12-29,Farm A,Silo 1,Rail,85
2017-06-11,Farm B,Silo 3,Truck,302
2017-02-05,Farm C,Silo 1,Truck,375
2019-08-25,Farm C,Silo 2,Rail,375
2022-08-07,Farm C,Silo 2,Rail,445
2017-05-14,Farm B,Silo 3,Rail,393
2021-04-18,Farm C,Silo 1,Rail,268
2019-05-05,Farm A,Silo 1,Truck,344
2021-08-01,Farm A,Silo 2,Truck,315
2020-01-26,Farm C,Silo 3,Truck,359
2019-07-21,Farm B,Silo 3,Truck,454
2020-12-20,Farm B,Silo 1,Rail,432
2017-09-03,Farm C,Silo 1,Truck,265
2020-01-05,Farm B,Silo 1,Rail,72
2019-10-13,Farm B,Silo 3,Rail,330
2019-06-09,Farm C,Silo 2,Rail,450
2022-01-16,Farm A,Silo 1,Rail,156
2019-06-02,Farm C,Silo 3,Rail,428
2021-09-26,Farm B,Silo 2,Truck,71
2022-12-04,Farm C,Silo 2,Rail,388
2022-11-13,Farm B,Silo 1,Rail,221
2020-08-02,Farm B,Silo 3,Rail,288
2018-11-04,Farm B,Silo 3,Truck,305
2017-04-02,Farm C,Silo 1,Rail,110
2019-06-02,Farm B,Silo 1,Rail,185
2017-12-10,Farm B,Silo 1,Rail,479
2022-03-13,Farm C,Silo 1,Truck,411
2021-02-14,Farm C,Silo 3,Truck,497
2022-01-30,Farm B,Silo 3,Rail,321
2021-04-18,Farm C,Silo 3,Rail,224
2021-09-26,Farm B,Silo 3,Truck,318
2017-09-10,Farm B,Silo 1,Rail,248
2020-10-04,Farm A,Silo 1,Truck,138
2020-09-20,Farm B,Silo 3,Truck,115
2018-11-18,Farm B,Silo 2,Rail,399
2020-12-27,Farm A,Silo 1,Rail,375
2018-08-19,Farm C,Silo 3,Truck,70
2019-09-22,Farm C,Silo 3,Truck,333
2018-08-19,Farm A,Silo 2,Rail,164
2019-04-07,Farm C,Silo 3,Truck,441
2017-07-16,Farm A,Silo 1,Rail,381
2020-01-26,Farm B,Silo 2,Truck,133
2021-02-14,Farm A,Silo 1,Truck,203
2018-04-01,Farm C,Silo 1,Truck,474
2018-07-08,Farm B,Silo 1,Truck,326
2020-03-01,Farm C,Silo 2,Truck,458
2019-09-15,Farm A,Silo 3,Rail,438
2017-04-30,Farm C,Silo 2,Truck,184
2019-01-13,Farm A,Silo 1,Rail,100
2017-09-24,Farm C,Silo 1,Rail,360
2022-06-26,Farm A,Silo 3,Truck,123
2018-02-18,Farm A,Silo 1,Truck,105
2017-03-26,Farm B,Silo 1,Truck,368
2020-03-22,Farm A,Silo 1,Rail,477
2022-01-02,Farm C,Silo 1,Truck,451
2019-03-17,Farm B,Silo 1,Rail,292
2020-11-01,Farm B,Silo 2,Rail,336
2017-02-12,Farm A,Silo 2,Rail,286
2020-07-05,Farm A,Silo 1,Truck,496
2020-12-20,Farm B,Silo 2,Rail,433
2021-02-28,Farm B,Silo 1,Rail,97
2019-03-10,Farm A,Silo 1,Truck,430
2019-04-07,Farm A,Silo 1,Truck,118
2022-11-13,Farm C,Silo 2,Truck,148
2022-12-25,Farm B,Silo 1,Rail,191
2020-05-10,Farm B,Silo 3,Rail,177
2017-08-06,Farm B,Silo 1,Truck,228
2018-04-29,Farm C,Silo 1,Truck,449
2017-11-05,Farm A,Silo 3,Truck,370
2019-12-22,Farm C,Silo 3,Truck,394
2018-09-30,Farm A,Silo 1,Rail,443
2020-08-02,Farm A,Silo 1,Rail,242
2017-01-15,Farm C,Silo 1,Truck,59
2021-08-08,Farm A,Silo 2,Rail,493
2021-08-15,Farm C,Silo 3,Truck,288
2019-10-27,Farm A,Silo 1,Truck,405
2018-11-18,Farm A,Silo 1,Truck,364
2021-07-18,Farm C,Silo 2,Rail,395
2018-09-02,Farm A,Silo 3,Rail,361
2022-12-11,Farm C,Silo 3,Rail,389
2022-04-03,Farm B,Silo 2,Truck,246
2021-06-06,Farm B,Silo 1,Rail,398
2017-08-06,Farm A,Silo 1,Rail,188
2021-04-25,Farm A,Silo 2,Truck,367
2021-10-10,Farm C,Silo 1,Truck,231
2019-06-16,Farm A,Silo 1,Truck,320
2022-07-31,Farm A,Silo 2,Truck,88
2021-09-26,Farm A,Silo 3,Rail,210
2017-03-05,Farm B,Silo 3,Rail,490
2020-12-06,Farm C,Silo 1,Truck,62
2017-07-09,Farm C,Silo 1,Rail,271
2019-05-05,Farm B,Silo 1,Truck,69
2019-04-28,Farm A,Silo 1,Rail,334
2018-10-21,Farm C,Silo 3,Rail,421
2022-05-08,Farm A,Silo 2,Truck,408
2022-01-30,Farm B,Silo 3,Truck,155
2018-07-15,Farm B,Silo 2,Rail,353
2017-10-22,Farm C,Silo 2,Truck,189
2018-03-04,Farm C,Silo 3,Rail,315
2021-07-18,Farm C,Silo 3,Truck,143
2021-08-22,Farm C,Silo 2,Truck,262
2022-07-10,Farm B,Silo 2,Rail,390
2019-03-03,Farm B,Silo 2,Truck,233
2018-04-01,Farm A,Silo 2,Rail,182
2021-01-17,Farm B,Silo 3,Truck,177
2021-06-06,Farm C,Silo 2,Truck,150
2018-10-14,Farm A,Silo 1,Truck,159
2020-01-05,Farm A,Silo 1,Rail,259
2020-02-02,Farm B,Silo 2,Rail,169
2022-08-14,Farm C,Silo 2,Truck,84
2019-08-25,Farm B,Silo 3,Rail,335
2018-03-18,Farm C,Silo 1,Truck,302
2022-06-12,Farm C,Silo 1,Truck,410
2018-05-20,Farm C,Silo 3,Truck,463
2019-02-10,Farm B,Silo 3,Rail,497
2019-12-08,Farm B,Silo 2,Rail,469
2018-08-12,Farm A,Silo 2,Rail,311
2018-04-01,Farm C,Silo 2,Truck,303
2021-09-26,Farm C,Silo 2,Rail,317
2022-01-09,Farm B,Silo 3,Truck,57
2021-08-22,Farm A,Silo 3,Truck,131
2018-11-04,Farm A,Silo 3,Rail,99
2020-08-02,Farm B,Silo 1,Truck,157
2019-12-29,Farm C,Silo 1,Rail,203
2022-12-18,Farm B,Silo 1,Rail,164
2022-05-29,Farm B,Silo 1,Rail,398
2018-10-14,Farm B,Silo 1,Truck,361
2021-10-10,Farm A,Silo 3,Truck,297
2022-07-10,Farm A,Silo 3,Rail,325
2020-07-12,Farm B,Silo 3,Truck,300
2019-09-29,Farm B,Silo 2,Rail,274
2017-10-22,Farm A,Silo 1,Rail,125
2018-06-17,Farm B,Silo 2,Truck,217
2022-02-20,Farm A,Silo 3,Rail,108
2022-08-28,Farm B,Silo 1,Rail,126
2021-10-24,Farm B,Silo 1,Truck,370
2019-09-22,Farm A,Silo 3,Truck,222
2017-06-25,Farm C,Silo 2,Rail,61
2017-08-13,Farm B,Silo 2,Truck,168
2019-07-14,Farm A,Silo 2,Rail,291
2021-10-17,Farm B,Silo 1,Truck,417
2020-08-02,Farm A,Silo 1,Rail,427
2022-09-04,Farm C,Silo 2,Rail,263
2017-03-05,Farm B,Silo 1,Rail,234
2018-12-30,Farm C,Silo 3,Rail,205
2017-04-16,Farm A,Silo 1,Truck,396
2020-09-27,Farm B,Silo 2,Rail,147
2022-05-08,Farm B,Silo 1,Truck,279
2017-10-08,Farm B,Silo 3,Truck,52
2020-06-07,Farm A,Silo 2,Truck,318
2022-03-27,Farm B,Silo 1,Rail,416
2022-03-06,Farm C,Silo 1,Rail,255
2020-02-09,Farm A,Silo 2,Truck,271
2021-01-03,Farm B,Silo 2,Truck,313
2019-03-17,Farm B,Silo 2,Rail,163
2020-02-23,Farm B,Silo 1,Rail,487
2020-03-01,Farm C,Silo 1,Truck,62
2019-05-19,Farm C,Silo 1,Rail,135
2022-10-02,Farm B,Silo 2,Truck,223
2019-08-18,Farm C,Silo 3,Rail,435
2018-02-04,Farm C,Silo 1,Rail,113
2017-09-17,Farm B,Silo 1,Rail,314
2019-07-14,Farm A,Silo 1,Rail,56
2020-04-26,Farm B,Silo 3,Truck,103
2022-02-13,Farm C,Silo 2,Rail,462
2020-10-25,Farm C,Silo 1,Rail,470
2017-06-18,Farm A,Silo 1,Rail,236
2021-07-04,Farm B,Silo 2,Rail,317
2019-10-27,Farm B,Silo 2,Truck,245
2021-08-22,Farm A,Silo 3,Rail,199
2020-06-21,Farm C,Silo 2,Rail,160
2017-02-12,Farm C,Silo 1,Rail,151
2022-09-25,Farm B,Silo 2,Rail,388
2018-02-11,Farm A,Silo 1,Rail,133
2017-07-30,Farm C,Silo 3,Rail,376
2022-08-07,Farm C,Silo 3,Truck,486
2019-10-20,Farm C,Silo 1,Rail,400
2018-11-18,Farm B,Silo 3,Truck,475
2018-01-28,Farm A,Silo 3,Truck,201
2017-02-26,Farm C,Silo 3,Rail,164
2022-11-20,Farm C,Silo 1,Rail,418
2018-08-26,Farm B,Silo 3,Truck,213
2021-01-10,Farm B,Silo 3,Rail,175
2017-05-07,Farm B,Silo 2,Truck,354
2022-05-15,Farm C,Silo 2,Rail,202
2017-11-05,Farm C,Silo 1,Truck,268
2022-09-25,Farm A,Silo 3,Rail,346
2021-01-10,Farm C,Silo 3,Truck,471
2018-07-01,Farm C,Silo 2,Truck,112
2018-09-23,Farm B,Silo 2,Rail,138
2021-04-04,Farm C,Silo 1,Truck,145
2018-07-15,Farm B,Silo 2,Rail,209
2017-04-16,Farm A,Silo 2,Truck,243
2019-07-07,Farm A,Silo 3,Truck,109
2021-12-05,Farm B,Silo 2,Rail,283
